CASRN	Compound	Hf
3683-19-0	cis-4-Methyl-2-hexene	-83310
3683-22-5	trans-4-Methyl-2-hexene	-83310
7357-93-9	3-Methyl-2-ethyl-1-butene	-83180
111-66-0	1-Octene	-82930
762-62-9	4,4-Dimethyl-1-pentene	-82220
74-87-3	Methyl Chloride	-81960
15840-60-5	cis-2-methyl-3-hexene	-81550
692-24-0	trans-2-Methyl-3-hexene	-81550
107-02-8	Acrolein	-81000
2876-52-0	1-n-Heptylnaphthalene	-80960
42775-77-9	6-n-Propyl-[1,2,3,4-Tetrahydronaphthalene]	-79750
16747-50-5	1-Methyl-1-Ethylcyclopentane	-78700
2613-65-2	trans-1-Methyl-3-ethylcyclopentane	-78700
2613-66-3	cis-1-Methyl-3-ethylcyclopentane	-78700
2613-69-6	1,c-2,c-3-Trimethylcyclopentane	-78700
930-89-2	cis-1-Methyl-2-Ethylcyclopentane	-78700
930-90-5	trans-1-Methyl-2-Ethylcyclopentane	-78700
10574-37-5	2,3-Dimethyl-2-pentene	-78540
7385-78-6	3,4-Dimethyl-1-pentene	-78530
3404-73-7	3,3-Dimethyl-1-pentene	-78080
287-92-3	Cyclopentane	-77240
6094-02-6	2-Methyl-1-hexene	-76230
66324-83-2	1-n-Propyl-[1,2,3,4-Tetrahydronaphthalene]	-75730
3404-71-5	2-Ethyl-1-Pentene	-75440
1078-71-3	n-Heptylbenzene	-75300
74-82-8	Methane	-74520
624-89-5	2-Thiabutane	-74380
14686-13-6	trans-2-Heptene	-73810
592-78-9	trans-3-Heptene	-73010
2436-90-0	3,7-Dimethyl-1,6-Octadiene	-72590
107-10-8	n-Propylamine	-72380
3524-73-0	5-Methyl-1-hexene	-70670
3769-23-1	4-Methyl-1-hexene	-70670
4038-04-4	3-Ethyl-1-Pentene	-69830
6443-92-1	cis-2-Heptene	-69200
7642-10-6	cis-3-Heptene	-68700
26438-27-7	1-n-Decylnaphthalene	-68200
563-79-1	2,3-Dimethyl-2-Butene	-66570
3875-51-2	Isopropylcyclopentane	-65940
592-44-9	1,2-Hexadiene	-65820
3404-61-3	3-Methyl-1-hexene	-63600
625-27-4	2-Methyl-2-pentene	-62590
592-76-7	1-Heptene	-62300
563-78-0	2,3-Dimethyl-1-Butene	-61840
922-61-2	cis-3-Methyl-2-Pentene	-59920
674-76-0	trans-4-Methyl-2-pentene	-59660
558-37-2	3,3-Dimethyl-1-Butene	-59620
2027-19-2	2-n-Propylnaphthalene	-58910
763-29-1	2-Methyl-1-pentene	-56730
1453-24-3	1-Ethylcyclohexene	-56230
691-38-3	cis-4-Methyl-2-pentene	-55480
1077-16-3	n-Hexylbenzene	-54600
760-21-4	2-Ethyl-1-Butene	-54060
13269-52-8	trans-3-Hexene	-52550
592-43-8	trans-2-Hexene	-52550
691-37-2	4-Methyl-1-pentene	-48780
7642-09-3	cis-3-Hexene	-48370
7688-21-3	cis-2-Hexene	-48370
26438-26-6	1-n-Nonylnaphthalene	-47500
1076-61-5	6,7-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-46690
760-20-3	3-Methyl-1-pentene	-46110
75-04-7	Ethylamine	-46020
75-08-1	Ethyl Mercaptan	-46020
95-93-2	1,2,4,5-Tetramethylbenzene	-44560
3074-61-1	1-n-Propylcyclopentene	-44480
694-35-9	3-Ethylcyclopentene	-43770
513-35-9	2-Methyl-2-butene	-42550
592-41-6	1-Hexene	-41670
527-53-7	1,2,3,5-Tetramethylbenzene	-40540
