CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
107-21-1	Ethylene glycol 	0.088067	0.00094712	-1.3114E-06	0	0	260.15	470.45
151-56-4	Ethyleneimine 	0.3097	-0.0004023	0	0	0	195.2	329
75-21-8	Ethylene oxide 	0.26957	-0.0003984	0	0	0	160.65	283.85
109-94-4	Ethyl formate 	0.2587	-0.00033	0	0	0	193.55	433.15
149-57-5	2-Ethyl hexanoic acid 	0.20954	-0.00022251	0	0	0	235	500.66
5756-43-4	Ethylhexyl ether 	0.19356	-0.00024102	0	0	0	180	466.4
625-54-7	Ethylisopropyl ether 	0.21928	-0.00032568	0	0	0	140	391.2
565-69-5	Ethylisopropyl ketone 	0.22873	-0.0002913	0	0	0	204.15	450.1
75-08-1	Ethyl mercaptan 	0.23392	-0.0003206	0	0	0	125.26	308.15
105-37-3	Ethyl propionate 	0.2137	-0.0002515	0	0	0	199.25	495
628-32-0	Ethylpropyl ether 	0.22717	-0.0003298	0	0	0	145.65	400.07
115-21-9	Ethyltrichlorosilane 	0.19769	-0.00017713	-1.5448E-07	0	0	167.55	371.05
7782-41-4	Fluorine 	0.2758	-0.0016297	0	0	0	53.48	130
462-06-6	Fluorobenzene 	0.20962	-0.00028034	0	0	0	238.15	353.15
353-36-6	Fluoroethane 	0.2595	-0.0005008	0	0	0	129.95	292.59
593-53-3	Fluoromethane 	0.445	-0.001023	0	0	0	131.35	283.15
50-00-0	Formaldehyde 	0.37329	-0.00065	0	0	0	204	234
75-12-7	Formamide 	0.3847	-0.0001065	0	0	0	275.7	493
64-18-6	Formic acid 	0.302	-0.000108	0	0	0	281.45	373.71
110-00-9	Furan 	0.2198	-0.00031405	0	0	0	187.55	304.5
7440-59-7	Helium-4 	-0.013833	0.022913	-0.0054872	0.0004585	0	2.2	4.8
629-78-7	Heptadecane 	0.20926	-0.0002215	0	0	0	295.13	575.3
111-71-7	Heptanal 	0.21816	-0.0003015	1.033E-07	0	0	229.8	553.15
142-82-5	Heptane 	0.215	-0.000303	0	0	0	182.57	371.58
111-14-8	Heptanoic acid 	0.202	-0.0002	0	0	0	265.83	496.15
111-70-6	1-Heptanol 	0.2239	-0.000226	0	0	0	239.15	573.15
543-49-7	2-Heptanol 	0.21134	-0.00024776	0	0	0	230	432.9
106-35-4	3-Heptanone 	0.2026	-0.0002234	0	0	0	234.15	553.15
110-43-0	2-Heptanone 	0.2108	-0.000246	0	0	0	238.15	424.05
592-76-7	1-Heptene 	0.19664	-0.00016623	-2.5241E-07	0	0	154.12	366.79
1639-09-4	Heptyl mercaptan 	0.2037	-0.0002252	0	0	0	229.92	450.09
628-71-7	1-Heptyne 	0.21098	-0.00026652	0	0	0	192.22	372.93
544-76-3	Hexadecane 	0.20749	-0.00021917	0	0	0	291.31	560.01
66-25-1	Hexanal 	0.22196	-0.00032053	1.1554E-07	0	0	217.15	533.15
110-54-3	Hexane 	0.22492	-0.0003533	0	0	0	177.83	370
142-62-1	Hexanoic acid 	0.1855	-0.000146	0	0	0	269.25	603.15
111-27-3	1-Hexanol 	0.2193	-0.00022	0	0	0	228.55	575
626-93-7	2-Hexanol 	0.21391	-0.00026042	0	0	0	223	412.4
591-78-6	2-Hexanone 	0.21076	-0.00024	0	0	0	217.35	400.85
589-38-8	3-Hexanone 	0.23493	-0.0002912	0	0	0	217.5	466
592-41-6	1-Hexene 	0.19112	-8.3519E-05	-5.1407E-07	0	0	133.39	336.63
928-49-4	3-Hexyne 	0.20996	-0.0002692	0	0	0	170.05	354.35
111-31-9	Hexyl mercaptan  	0.2058	-0.0002324	0	0	0	192.62	425.81
693-02-7	1-Hexyne  	0.21492	-0.0002899	0	0	0	141.25	344.48
764-35-2	2-Hexyne  	0.2119	-0.00027048	0	0	0	183.65	357.67
302-01-2	Hydrazine  	1.3675	-0.0015895	0	0	0	274.69	623.15
1333-74-0	Hydrogen  	-0.0917	0.017678	-0.000382	-3.3324E-06	1.0266E-07	13.95	31
10035-10-6	Hydrogen bromide  	0.234	-0.0004636	0	0	0	185.15	290.62
7647-01-0	Hydrogen chloride  	0.8045	-0.002102	0	0	0	273.15	323.15
74-90-8	Hydrogen cyanide  	0.43454	-0.0007008	0	0	0	259.83	298.85
7664-39-3	Hydrogen fluoride  	0.7516	-0.0010874	0	0	0	189.79	394.45
7783-06-4	Hydrogen sulfide  	0.4842	-0.001184	0	0	0	193.15	292.42
79-31-2	Isobutyric acid  	0.21668	-0.0002556	0	0	0	227.15	482.75
75-31-0	Isopropyl amine  	0.237	-0.000332	0	0	0	177.95	305.55
141-82-2	Malonic acid  	0.28918	-0.0002614	0	0	0	407.95	644
79-41-4	Methacrylic acid  	0.2306	-0.00025201	0	0	0	288.15	530
74-82-8	Methane  	0.41768	-0.0024528	3.5588E-06	0	0	90.69	180
67-56-1	Methanol  	0.2837	-0.000281	0	0	0	175.47	337.85
79-16-3	N-Methyl acetamide  	0.23743	-0.0002362	0	0	0	301.15	478.15
79-20-9	Methyl acetate  	0.2777	-0.000417	0	0	0	175.15	386.15
74-99-7	Methyl acetylene  	0.23648	-0.00041639	0	0	0	170.45	249.94
96-33-3	Methyl acrylate  	0.26082	-0.0003506	0	0	0	196.32	421
74-89-5	Methyl amine  	0.33446	-0.00067427	8.033E-07	0	0	179.69	283.15
93-58-3	Methyl benzoate  	0.22142	-0.00022759	0	0	0	260.75	547.9
598-25-4	3-Methyl-1,2-butadiene  	0.1983	-0.0002822	0	0	0	159.53	314
78-78-4	2-Methylbutane  	0.21246	-0.00033581	0	0	0	113.25	368.13
116-53-0	2-Methylbutanoic acid  	0.22284	-0.0002516	0	0	0	357.15	480.9
123-51-3	3-Methyl-1-butanol  	0.17471	-0.0001256	0	0	0	155.95	404.15
563-46-2	2-Methyl-1-butene  	0.19447	-0.0002901	0	0	0	135.58	304.3
513-35-9	2-Methyl-2-butene  	0.19636	-0.000291	0	0	0	139.39	311.7
78-80-8	2-Methyl-1-butene-3-yne  	0.20385	-0.0002874	0	0	0	160.15	305.4
628-28-4	Methylbutyl ether  	0.22235	-0.0003044	0	0	0	157.48	463.15
628-29-5	Methylbutyl sulfide  	0.20698	-0.00024439	0	0	0	175.3	396.58
598-23-2	3-Methyl-1-butyne  	0.20348	-0.0003106	0	0	0	183.45	302.15
623-42-7	Methyl butyrate  	0.21748	-0.00025913	0	0	0	187.35	493.15
993-00-0	Methylchlorosilane  	0.24683	-0.00038854	0	0	0	139.05	281.85
