CASRN	Chemical	Tc	Pc	Vc	omega
20309-77-7	1,1,cis-3,cis-4-tetramethylcyclopentane	602.33	2704000	0.0004765	0.271
20327-65-5	trans-1-fluoro-1-propene	430.49	4450000	0.0002015	0.208
2035-99-6	isoamyl caprylate	682	1740000	0.000776	0.759
20352-67-4	ethylhexylamine	599.8	2520000	0.00051	0.535
2039-89-6	2-ethenyl-1,4-dimethylbenzene	680.23	2970000	0.0004685	0.375
2039-90-9	2,6-dimethylstyrene	679.34	2970000	0.0004685	0.375
2039-93-2	(1-methylenepropyl)benzene	666	3010000	0.000454	0.354
20395-24-8	1,1-dichlorooctane	672.06	2375000	0.0005755	0.485
20395-25-9	1,1,3-trichloropropane	635.01	3863000	0.0003445	0.317
20396-66-1	diborane, deutero	293.74	3217000	0.00020801	0.017
2040-95-1	butylcyclopentane	621	2720000	0.000483	0.372
2040-96-2	propylcyclopentane	596	3020000	0.000428	0.327
2044-21-5	dinonylamine	761.5	1330000	0.001062	0.891
2044-22-6	trinonylamine	802.99	703000	0.0015855	
20487-40-5	1,1-dimethylethyl propanoate	557	2720000	0.000448	0.788
20488-34-0	2-methyl-cis3-heptene	560.58	2696000	0.0004575	0.347
2049-92-5	p-tert-pentylaniline	700	2750000	0.0005661	
2049-94-7	1-phenyl-3-methylbutane	676.37	2671000	0.0005375	0.413
2049-95-8	2-phenyl-2-methylbutane	676.93	2701000	0.0005325	0.351
2050-00-2	1,1-dimethylpropyl butanoate	603	2380000	0.0005	0.901
2050-01-3	3-methylbutyl isobutanoate	640	2120000	0.000577	0.488
2050-09-1	3-methylbutyl pentanoate	637	2200000	0.0006	0.579
2050-24-0	1-methyl-3,5-diethylbenzene	672.46	2569000	0.0005435	0.441
2050-77-3	1-iododecane	700.35	2370000	0.0006145	0.932
2050-92-2	dipentylamine	639	2120000	0.000629	0.677
2051-04-9	diisopentyl disulfide	726.94	2175000	0.0007035	0.614
2051-25-4	1,3-decadiene	646	3000000	0.0004577	
2051-30-1	2,6-dimethyloctane	606	2170000	0.000575	0.439
2051-31-2	4-decanol	633.05	2316000	0.0006085	0.883
2051-32-3	3-ethyl-3-octanol	624.3	2341000	0.0006035	0.819
2051-33-4	5-methyl-2-isopropyl-1-hexanol	642.85	2352000	0.0005965	0.822
2051-53-8	2-methyl-5-isopropylaniline	690	2985000	0.0005255	0.69
2051-78-7	allyl butanoate	592.33	2830000	0.000428	0.432
2051-84-5	N-isopentylaniline	700	2750000	0.0005661	
20515-19-9	methyl trans-3-pentenoate	569	3250000	0.000376	0.434
2055-40-5	4-isopropylstyrene	685	2700000	0.0005291	
20592-10-3	2-ethyl-1-octanol	631.54	2316000	0.0006085	0.883
20599-27-3	1-bromo-2-pentene	586.22	4033000	0.0003562	0.334
206-44-0	fluoranthene	905	2610000	0.000655	0.588
20626-52-2	(S)-(-)-2-methylbutylamine	525.16	3540000	0.0003458	0.379
20634-92-8	N-ethyl-N-propyl-1-propanamine	601.45	2652000	0.0005176	0.5
20654-44-8	2,3-dimethylbutanenitrile	582.4	3076000	0.0003855	0.412
20654-46-0	2,2-dimethylbutanenitrile	588.3	3086000	0.0003865	0.379
20667-05-4	2-methyl-1,2-pentanediol	646.52	3951000	0.0003985	1.14
20668-26-2	3,6-dimethylquinoline	780.41	3353000	0.0005145	0.497
20668-28-4	3,7-dimethylquinoline	781.85	3353000	0.0005145	0.497
20668-29-5	3,8-dimethylquinoline	767.48	3353000	0.0005145	0.497
20668-30-8	5,6-dimethylquinoline	784.5	3353000	0.0005145	0.497
20668-33-1	6,7-dimethylquinoline	785.94	3353000	0.0005145	0.497
20669-04-9	3,3-dimethyl-2-pentanone	589.07	3059000	0.0004225	0.387
20687-01-8	1-iodo-2-methyl-1-propene	608.34	4073000	0.0003285	0.217
20699-48-3	2,3-butanediamine, (R*,R*)-(±)	612.33	4610000	0.0003183	0.533
20710-38-7	3-methyl-trans-2-hexene	546.42	2976000	0.0004085	0.307
20711-10-8	cis-tetradec-11-eN-1-yl acetate	782	1600000	0.0009064	
20747-49-3	[1R-(1a,2a,5b)]-5-methyl-2-(1-methylethyl)cyclohexanol	665	3090000	0.0005298	
20748-86-1	2,4-heptanediol	660.11	3501000	0.0004535	1.212
20754-04-5	3-methyl-4-octanone	629.65	2467000	0.0005338	0.541
20760-06-9	2-ethyl-(1-thiaethyl)-benzene	730.87	3269000	0.0004855	0.416
2077-29-4	cis-1-methyl-4-(1-propenyl)benzene	687.86	3052000	0.0004675	0.365
2077-30-7	trans-1-methyl-4-(1-propenyl)benzene	695.19	3052000	0.0004675	0.365
2077-31-8	cis-1-methyl-3-(1-propenyl)benzene	682.61	3052000	0.0004675	0.365
2077-33-0	cis-1-methyl-2-(1-propenyl)benzene	682.61	3052000	0.0004675	0.365
2077-46-5	2,3,6-trichlorotoluene	737	3340000	0.000447	0.26
20780-49-8	3,7-dimethyloctyl acetate	693.8	1670000	0.000751	0.533
2079-95-0	1-tetradecanethiol	753.8	1603000	0.0008735	0.707
208-96-8	acenaphthylene	792	3200000	0.000544	0.399
20809-46-5	7-methyl-4-octanone	629.65	2467000	0.0005338	0.541
20816-12-0	osmium tetroxide	678	5414000	0.0003025	0.178
20820-82-0	2,3,4,6-tetramethylpyridine	673	3000000	0.0004694	
2084-18-6	3-methyl-2-butanethiol	579	3400000	0.000362	0.283
2084-19-7	2-pentanethiol	580	3400000	0.000362	0.302
2084-45-9	1,5-dichloro-2,4-dimethylbenzene	735	3300000	0.000446	
20843-07-6	3,4-dimethylfuran	535.1	4173000	0.0002904	0.332
2085-66-7	tert-amyl-tert-butylamine	617.4	2331000	0.0005709	0.567
2090-15-5	1,1-dicyclohexylheptane	790.2	1444000	0.0009655	0.623
2091-29-4	9-hexadecenoic acid	896	1700000	0.0009256	
2094-75-9	2,2-dimethylbutanal	558.82	3456000	0.0003775	0.37
2100-17-6	4-pentenal	570	4100000	0.0002715	
21020-26-8	3-ethyl-1-pentyne	540.76	3326000	0.0003835	0.27
21020-27-9	4-methyl-2-pentyne	540.58	3782000	0.0003275	0.206
21035-44-9	ethyl-sec-butylamine	538.12	3181000	0.0004005	0.432
21078-72-8	3-methyl-3-nonanol	637.32	2341000	0.0006035	0.819
2109-98-0	2,3-dimethylbutanal	567.64	3444000	0.0003765	0.402
21101-88-2	3-methylpentanenitrile	614.09	3049000	0.0003915	0.442
21102-09-0	4,4-dimethyl-3-ethyl-2-pentanol	624.08	2616000	0.0005355	0.716
21102-13-6	2,3,4-trimethyl-2-hexanol	630.85	2616000	0.0005355	0.716
21129-09-9	1,2-tetradecanediol	751.22	1780000	0.0008515	1.293
21129-27-1	1-methyl-4-isopropylcyclohexanol	665	3090000	0.0005298	
2121-69-9	meso-2,4-dimethyl-1,5-pentanediol	660.11	3501000	0.0004535	1.212
21266-88-6	2,3-dibromoheptane	700.05	3288000	0.0005455	0.571
21266-90-0	3,4-dibromoheptane	700.05	3288000	0.0005455	0.571
21282-97-3	2-(methacryloyloxy)ethyl acetoacetate	761	2260000	0.000621	0.822
2131-18-2	pentadecylbenzene	809	1330000	0.00109	0.857
2131-38-6	1,3,7-trimethylnaphthalene	779.72	2671000	0.0005775	0.492
2131-39-7	1,3,5-trimethylnaphthalene	786.07	2671000	0.0005775	0.492
2131-41-1	1,4,5-trimethylnaphthalene	786.77	2671000	0.0005775	0.492
