CASRN	Name 	logP
76-13-1	1,1,2-Trichloro-1,2,2-trifluoroethane	3.16
121-44-8	Triethylamine	1.45
75-50-3	Trimethylamine	0.16
526-73-8	1,2,3-Trimethylbenzene	3.6
95-63-6	1,2,4-Trimethylbenzene	3.63
108-67-8	1,3,5-Trimethylbenzene	3.42
2416-94-6	2,3,6-Trimethylphenol	2.67
527-60-6	2,4,6-Trimethylphenol	2.46
603-34-9	Triphenylamine	5.74
217-59-4	Triphenylene	5.49
76-84-6	Triphenylmethanol	3.68
102-69-2	Tripropylamine	2.79
112-12-9	2-Undecanone	4.09
108-05-4	Vinyl acetate	0.73
95-47-6	o-Xylene	3.12
108-38-3	m-Xylene	3.2
106-42-3	p-Xylene	3.15
105-67-9	2,4-Xylenol	2.35
95-87-4	2,5-Xylenol	2.34
576-26-1	2,6-Xylenol	2.36
95-65-8	3,4-Xylenol	3.23
108-68-9	3,5-Xylenol	2.35
