CASRN	Chemical	Formula	Hfus
129-00-0	Pyrene	C16H10	17360
1302-81-4	Aluminum sulfide	Al2S3	66000
1303-00-0	Gallium arsenide	AsGa	87640
1303-11-3	Indium arsenide	AsIn	77000
1303-28-2	Arsenic(V) oxide	As2O5	60000
1303-33-9	Arsenic(III) sulfide	As2S3	28700
1303-36-2	Arsenic(III) selenide	As2Se3	40800
1303-86-2	Boron oxide	B2O3	24560
1304-28-5	Barium oxide	BaO	46000
1304-54-7	Beryllium nitride	Be3N2	111000
1304-56-9	Beryllium oxide	BeO	86000
1304-76-3	Bismuth oxide	Bi2O3	14700
1305-78-8	Calcium oxide	CaO	80000
1306-38-3	Cerium(IV) oxide	CeO2	80000
1308-38-9	Chromium(III) oxide	Cr2O3	125000
1308-87-8	Dysprosium(III) oxide	Dy2O3	120000
1308-96-9	Europium(III) oxide	Eu2O3	117000
1309-37-1	Iron(III) oxide	Fe2O3	87000
1309-48-4	Magnesium oxide	MgO	77000
1309-64-4	Antimony(III) oxide (valentinite)	O3Sb2	54000
1310-53-8	Germanium(IV) oxide	GeO2	12600
1310-58-3	Potassium hydroxide	HKO	7900
1310-65-2	Lithium hydroxide	HLiO	20900
1310-73-2	Sodium hydroxide	HNaO	6600
1310-82-3	Rubidium hydroxide	HORb	8000
1312-41-0	Indium antimonide	InSb	47700
1312-43-2	Indium(III) oxide	In2O3	105000
1312-73-8	Potassium sulfide	K2S	16150
13126-12-0	Rubidium nitrate	NO3Rb	4600
1313-27-5	Molybdenum(VI) oxide	MoO3	48700
1313-59-3	Sodium oxide	Na2O	47700
1313-60-6	Sodium peroxide	Na2O2	24500
1313-82-2	Sodium sulfide	Na2S	19000
1313-96-8	Niobium(V) oxide	Nb2O5	104300
1313-99-1	Nickel(II) oxide	NiO	50700
1314-11-0	Strontium oxide	OSr	81000
1314-12-1	Thallium(I) oxide	OTl2	30300
1314-13-2	Zinc oxide	OZn	70000
1314-20-1	Thorium(IV) oxide	O2Th	90000
1314-23-4	Zirconium(IV) oxide	O2Zr	90000
1314-32-5	Thallium(III) oxide	O3Tl2	53000
1314-34-7	Vanadium(III) oxide	O3V2	140000
1314-35-8	Tungsten(VI) oxide	O3W	73000
1314-36-9	Yttrium oxide	O3Y2	81000
1314-56-3	Phosphorus(V) oxide	O5P2	27200
1314-61-0	Tantalum(V) oxide	O5Ta2	120000
1314-62-1	Vanadium(V) oxide	O5V2	64000
1314-68-7	Rhenium(VII) oxide	O7Re2	65700
1314-85-8	Phosphorus sesquisulfide	P4S3	20100
1314-87-0	Lead(II) sulfide	PbS	49400
1314-95-0	Tin(II) sulfide	SSn	31600
1314-96-1	Strontium sulfide	SSr	63000
1314-97-2	Thallium(I) sulfide	STl2	23000
1314-98-3	Zinc sulfide (wurtzite)	SZn	30000
1315-11-3	Zinc telluride	TeZn	63000
1317-36-8	Lead(II) oxide (massicot)	OPb	25600
1317-37-9	Iron(II) sulfide	FeS	31500
1317-38-0	Copper(II) oxide	CuO	49000
1317-39-1	Copper(I) oxide	Cu2O	65600
1317-42-6	Cobalt(II) sulfide	CoS	30000
1317-61-9	Iron(II,III) oxide	Fe3O4	138000
1317-80-2	Titanium(IV) oxide (rutile)	O2Ti	68000
1327-53-3	Arsenic(III) oxide (claudetite)	As2O3	18000
13283-01-7	Tungsten(VI) chloride	Cl6W	6690
13320-71-3	Molybdenum(IV) chloride	Cl4Mo	16700
1333-74-0	Hydrogen	H2	120
1333-82-0	Chromium(VI) oxide	CrO3	14200
134-81-6	Benzil	C14H10O2	23500
13400-13-0	Cesium fluoride	CsF	21700
1344-28-1	Aluminum oxide (α)	Al2O3	111100
1344-43-0	Manganese(II) oxide	MnO	43900
1344-48-5	Mercury(II) sulfide (black)	HgS	40000
1344-54-3	Titanium(III) oxide	O3Ti2	104600
1344-57-6	Uranium(IV) oxide	O2U	74200
13446-03-2	Manganese(II) bromide	Br2Mn	33500
13446-74-7	Rubidium fluoride	FRb	25800
13446-75-8	Rubidium hydride	HRb	22000
1345-04-6	Antimony(III) sulfide	S3Sb2	47900
1345-07-9	Bismuth sulfide	Bi2S3	78200
1345-13-7	Cerium(III) oxide	Ce2O3	120000
1345-25-1	Iron(II) oxide	FeO	24100
13450-88-9	Gallium(III) bromide	Br3Ga	11700
13450-90-3	Gallium(III) chloride	Cl3Ga	11510
13450-91-4	Gallium(III) iodide	GaI3	12900
13450-92-5	Germanium(IV) bromide	Br4Ge	12000
13450-95-8	Germanium(IV) iodide	GeI4	19100
13451-11-1	Tantalum(V) bromide	Br5Ta	37700
13453-49-1	Thorium(IV) bromide	Br4Th	54400
13454-78-9	Cesium chromate	CrCs2O4	35300
13454-83-6	Cesium nitrite	CsNO2	10900
13460-50-9	Metaboric acid (γ form)	BHO2	14300
13462-88-9	Nickel(II) bromide	Br2Ni	56000
13462-90-3	Nickel(II) iodide	I2Ni	48000
13465-09-3	Indium(III) bromide	Br3In	26000
13465-10-6	Indium(I) chloride	ClIn	9200
13465-84-4	Tetraiodosilane	I4Si	19700
13470-11-6	Tungsten(V) bromide	Br5W	17200
13470-14-9	Tungsten(V) chloride	Cl5W	20600
13470-19-4	Uranium(III) bromide	Br3U	43900
13470-20-7	Uranium(IV) bromide	Br4U	55200
13470-22-9	Uranium(IV) iodide	I4U	42100
13477-09-3	Barium hydride	BaH2	25000
13478-28-9	Chromium(II) iodide	CrI2	46000
13478-45-0	Niobium(V) bromide	Br5Nb	24000
13494-80-9	Tellurium	Te	17380
135-19-3	2-Naphthol	C10H8O	18100
13510-35-5	Indium(III) iodide	I3In	18480
13510-49-1	Beryllium sulfate	BeO4S	6000
13520-78-0	Tungsten(VI) oxytetrachloride	Cl4OW	18800
13520-79-1	Tungsten(VI) oxytetrafluoride	F4OW	6000
13536-53-3	Praseodymium(III) bromide	Br3Pr	47300
13536-79-3	Lanthanum bromide	Br3La	54000
13536-80-6	Neodymium(III) bromide	Br3Nd	45300
13537-18-3	Thulium(III) chloride	Cl3Tm	34900
13568-33-7	Lithium nitrite	LiNO2	9200
13569-62-5	Plutonium(III) chloride	Cl3Pu	63600
13569-75-0	Chromium(III) iodide	CrI3	61000
13569-80-7	Dysprosium(III) fluoride	DyF3	58600
13572-98-0	Gadolinium(III) iodide	GdI3	54000
13573-08-5	Germanium(II) iodide	GeI2	33300
13587-16-1	Lithium hydride-d	DLi	22000
13597-46-1	Zinc selenite	O3SeZn	46400
13597-64-3	Cesium molybdate	Cs2MoO4	31800
13598-33-9	Strontium hydride	H2Sr	23000
13598-36-2	Phosphonic acid	H3O3P	12800
13637-68-8	Molybdenum(VI) dioxydichloride	Cl2MoO2	17000
13693-06-6	Plutonium(VI) fluoride	F6Pu	18600
13693-09-9	Xenon hexafluoride	F6Xe	5740
13709-36-9	Xenon difluoride	F2Xe	16800
13709-38-1	Lanthanum fluoride	F3La	50200
13709-42-7	Neodymium(III) fluoride	F3Nd	54800
13709-46-1	Praseodymium(III) fluoride	F3Pr	57300
13709-47-2	Scandium fluoride	F3Sc	62600
13709-49-4	Yttrium fluoride	F3Y	27900
13709-56-3	Plutonium(IV) fluoride	F4Pu	42700
13709-59-6	Thorium(IV) fluoride	F4Th	41800
13709-61-0	Xenon tetrafluoride	F4Xe	16300
13709-66-5	Rubidium metaborate	BO2Rb	31000
13709-94-9	Potassium metaborate	BKO2	31380
13718-50-8	Barium iodide	BaI2	26500
13760-78-6	Holmium fluoride	F3Ho	56300
13760-79-7	Thulium(III) fluoride	F3Tm	28900
13760-83-3	Erbium fluoride	ErF3	28200
13762-26-0	Zirconium(II) chloride	Cl2Zr	27000
13765-25-8	Europium(III) fluoride	EuF3	6400
13765-26-9	Gadolinium(III) fluoride	F3Gd	52400
13775-06-9	Uranium(III) fluoride	F3U	36800
13775-07-0	Uranium(V) fluoride	F5U	35000
13775-53-6	Sodium hexafluoroaluminate	AlF6Na3	114400
13777-25-8	Zirconium(IV) bromide	Br4Zr	
13779-87-8	Zirconium(III) iodide	I3Zr	33000
13779-92-5	Niobium(V) iodide	I5Nb	37700
13780-48-8	Europium(II) bromide	Br2Eu	25100
13813-22-4	Lanthanum iodide	I3La	56100
13813-23-5	Praseodymium(III) iodide	I3Pr	53100
13813-24-6	Neodymium(III) iodide	I3Nd	41500
13813-46-2	Plutonium(III) iodide	I3Pu	50200
13814-22-7	Zirconium(III) fluoride	F3Zr	50000
13814-74-9	Molybdenum(V) oxytrichloride	Cl3MoO	22000
13814-75-0	Molybdenum(VI) oxytetrachloride	Cl4MoO	14300
13818-75-2	Gadolinium(III) bromide	Br3Gd	38100
13819-84-6	Molybdenum(V) fluoride	F5Mo	6100
13821-20-0	Lithium hexafluoroaluminate	AlF6Li3	86190
13825-25-7	Rubidium nitrite	NO2Rb	12100
13825-76-8	Holmium bromide	Br3Ho	50100
13842-80-3	Vanadium(II) fluoride	F2V	44000
13842-83-6	Plutonium(III) fluoride	F3Pu	59800
13842-94-9	Zirconium(II) fluoride	F2Zr	37700
13966-94-4	Indium(I) iodide	IIn	17260
13986-26-0	Zirconium(IV) iodide	I4Zr	32000
14075-53-7	Potassium fluoroborate	BF4K	17660
141-53-7	Sodium formate	CHNaO2	17700
141-78-6	Ethyl acetate	C4H8O2	10480
14167-59-0	Tetratriacontane	C34H70	79400
142-29-0	Cyclopentene	C5H8	3360
142-68-7	Tetrahydropyran	C5H10O	1800
142-82-5	Heptane	C7H16	14030
14280-53-6	Indium(I) bromide	BrIn	24300
143-07-7	Dodecanoic acid	C12H24O2	36300
143-33-9	Sodium cyanide	CNNa	8790
14307-35-8	Lithium chromate	CrLi2O4	30500
144-55-8	Sodium hydrogen carbonate	CHNaO3	25000
144-80-9	N-[(4-Aminophenyl)sulfonyl]acetamide	C8H10N2O3S	22400
144-83-2	4-Amino-N-2-pyridinylbenzenesulfonamide	C11H11N3O2S	34400
14456-47-4	Terbium(III) bromide	Br3Tb	31500
14457-87-5	Cerium(III) bromide	Br3Ce	51900
14459-59-7	Molybdenum(VI) oxytetrafluoride	F4MoO	4000
14464-46-1	Silicon dioxide (cristobalite)	O2Si	9600
14521-18-7	Ruthenium(V) fluoride	F5Ru	74500
14693-81-3	Tantalum(V) iodide	I5Ta	7740
150-13-0	Aniline-4-carboxylic acid	C7H7NO2	22500
151-50-8	Potassium cyanide	CKN	14600
15238-00-3	Cobalt(II) iodide	CoI2	35000
15385-57-6	Mercury(I) iodide	Hg2I2	31400
15513-85-6	Zirconium(II) iodide	I2Zr	28000
156-59-2	cis-1,2-Dichloroethene	C2H2Cl2	7200
156-87-6	3-Amino-1-propanol	C3H9NO	19700
157-40-4	Spiro[2.2]pentane	C5H8	6430
1574-41-0	cis-1,3-Pentadiene	C5H8	5640
15752-46-2	Plutonium(III) bromide	Br3Pu	58600
16033-71-9	Methyloxirane	C3H6O	6530
1633-05-2	Strontium carbonate	CO3Sr	40000
1634-04-4	Methyl tert-butyl ether	C5H12O	7600
1678-91-7	Ethylcyclohexane	C8H16	8330
1678-92-8	Propylcyclohexane	C9H18	10370
1678-93-9	Butylcyclohexane	C10H20	14160
16812-54-7	Nickel(II) sulfide	NiS	30100
16893-85-9	Sodium hexafluorosilicate	F6Na2Si	99600
17014-71-0	Potassium peroxide	K2O2	20500
17082-12-1	trans-Azobenzene	C12H10N2	22520
17194-00-2	Barium hydroxide	BaH2O2	16000
17702-41-9	Decaborane(14)	B10H14	21970
18088-11-4	Rubidium oxide	ORb2	20000
18282-10-5	Tin(IV) oxide	O2Sn	23400
18480-07-4	Strontium hydroxide	H2O2Sr	23000
18820-29-6	Manganese(II) sulfide (α form)	MnS	26100
191-07-1	Coronene	C24H12	19200
192-97-2	Benzo[e]pyrene	C20H12	16600
195-19-7	Benzo[c]phenanthrene	C18H12	16300
198-55-0	Perylene	C20H12	31900
2004-70-8	trans-1,3-Pentadiene	C5H8	7140
20281-00-9	Cesium oxide	Cs2O	20000
20548-54-3	Calcium sulfide	CaS	70000
206-44-0	Fluoranthene	C16H10	18690
20667-12-3	Silver(I) oxide	Ag2O	15000
208-96-8	Acenaphthylene	C12H8	6900
20816-12-0	Osmium(VIII) oxide	O4Os	14300
20972-43-4	trans-Azoxybenzene	C12H10N2O	17900
21109-95-5	Barium sulfide	BaS	63000
21351-79-1	Cesium hydroxide	CsHO	7780
21548-73-2	Silver(I) sulfide	Ag2S	7900
21651-19-4	Tin(II) oxide	OSn	27700
217-59-4	Triphenylene	C18H12	24740
218-01-9	Chrysene	C18H12	26200
2207-01-4	cis-1,2-Dimethylcyclohexane	C8H16	1640
2207-03-6	trans-1,3-Dimethylcyclohexane	C8H16	9870
2207-04-7	trans-1,4-Dimethylcyclohexane	C8H16	12330
22205-45-4	Copper(I) sulfide	Cu2S	9620
23611-30-5	Rubidium peroxide	O2Rb2	21000
2367-82-0	1,2,3,5-Tetrafluorobenzene	C6H2F4	6360
24621-17-8	Zirconium(II) bromide	Br2Zr	28000
24621-18-9	Zirconium(III) bromide	Br3Zr	33000
24621-21-4	Niobium nitride	NNb	46000
2551-62-4	Sulfur hexafluoride	F6S	5020
25583-20-4	Titanium nitride	NTi	66900
25658-42-8	Zirconium nitride	NZr	67400
25817-87-2	Hafnium nitride	HfN	62800
