CASRN	Tb
41136-03-2	317.39
41138-69-6	483.15
41198-08-7	383.15
41223-14-7	396.15
4126-78-7	407.15
41264-06-6	440.15
4127-45-1	325.59
4128-31-8	453.15
4128-73-8	469.15
41284-12-2	461.15
4130-42-1	545.15
4132-48-3	483.15
4132-72-3	469.35
4132-77-8	474.95
4137-10-4	333.65
4142-85-2	455.15
41427-34-3	505.65
4143-41-3	274.65
4144-22-3	462.15
41446-63-3	523.15
4145-94-2	420.15
4146-04-7	467.65
4148-16-7	610.65
4149-06-8	528.15
41492-05-1	516.95
4151-50-2	469.15
4152-09-4	523.15
4154-69-2	347.15
41595-29-3	392.65
4160-52-5	524.65
4161-60-8	450.15
4164-06-1	461.65
4164-28-7	460.15
41653-96-7	499.65
41658-69-9	412.65
4166-00-1	383.15
4166-20-5	516.15
4166-46-5	431.35
4167-74-2	510.15
4167-77-5	483.15
4169-04-4	517.15
41692-47-1	450.15
4170-30-3	377.15
4170-46-1	394.15
4170-90-5	413.15
41718-50-7	413.65
4175-54-6	499.15
41761-12-0	450.15
41781-17-3	386.65
4179-19-5	517.15
4180-23-8	507.15
4181-95-7	798.15
41851-34-7	557.65
41851-35-8	576.34
4187-38-6	478.15
4187-86-4	398.15
41901-72-8	521.15
41909-29-9	326.15
4192-77-2	544.65
420-05-3	296.15
420-12-2	328.08
420-23-5	319.65
420-24-6	349.65
420-26-8	263.81
420-45-1	272.75
420-46-2	225.81
420-52-0	286.25
420-56-4	290
420-90-6	315.15
420-97-3	361.75
420-99-5	328.15
4200-95-7	616.15
42027-23-6	460.65
4206-67-1	413.15
4206-75-1	435.65
42061-72-3	491.15
42067-48-1	389.15
42067-49-2	387.45
4208-49-5	480.65
4208-64-4	435.65
4209-22-7	754.15
4209-24-9	534.65
4209-90-9	429.25
4209-91-0	425.15
421-01-2	341.55
421-04-5	285.15
421-06-7	299.15
421-07-8	260.15
421-14-7	249.15
421-17-0	272.55
421-20-5	365.65
421-48-7	272.15
421-50-1	295.05
421-83-0	435.15
4210-32-6	531.15
4213-40-5	420.65
4213-41-6	525.15
42131-85-1	361.15
42131-98-6	365.15
42132-00-3	365.15
42149-74-6	404.15
4215-86-5	490.15
42152-47-6	416.65
4218-48-8	469.75
42185-47-7	463.15
4219-24-3	481.15
42195-92-6	432.15
422-05-9	354.15
422-56-0	324.15
422-61-7	246
422-64-0	369.95
42202-42-6	443.15
42205-08-3	490.66
4221-99-2	372.6
42242-58-0	511.45
42242-59-1	495.45
42245-37-4	395.15
42246-24-2	437.15
4225-85-8	560.15
4229-91-8	387.15
423-39-2	340.05
423-55-2	414.65
423-56-3	449.15
423-62-1	470.6
4230-97-1	498.15
4232-84-2	432.65
42328-76-7	423.85
42345-82-4	401.35
4238-71-5	583.15
42398-73-2	538.65
424-64-6	394.15
42412-84-0	516.65
42425-07-0	644.15
42436-07-7	369.15
4245-35-6	431.15
4245-37-8	384.65
42471-28-3	371.15
42474-20-4	463.15
42474-21-5	501.15
4249-10-9	415.15
425-23-0	379.15
425-61-6	358.95
425-75-2	388.15
425-82-1	244.15
425-87-6	343.55
4250-81-1	487.1
42509-80-8	373.15
42520-97-8	430.15
4253-89-8	450.35
4254-14-2	460.15
4254-15-3	460.15
4254-22-2	448.15
42551-55-3	433.15
42569-16-4	394.75
4258-93-9	445.15
4259-00-1	386.88
4259-43-2	347.15
42597-26-2	506.15
42599-17-7	485.15
426-65-3	347.65
42601-04-7	437.15
4265-25-2	470.15
4265-97-8	563.65
4269-15-2	538.15
4271-27-6	550.15
4276-09-9	462.65
4276-50-0	670.15
4276-51-1	720.15
42764-74-9	588.15
4277-63-8	453.15
42775-75-7	518.15
4279-22-5	376.15
4282-33-1	423.15
4282-40-0	477.1
4282-42-2	518.15
4282-44-4	554.65
42842-08-0	348.15
4285-42-1	553.15
42865-19-0	431.15
4288-84-0	455.15
42884-33-3	495.15
4291-79-6	449.15
4291-80-9	437.65
4291-81-0	448.65
4291-98-9	452.15
4291-99-0	473.15
42910-16-7	701.15
4292-00-6	492.15
4292-04-0	428.25
4292-19-7	571.35
4292-75-5	497.86
4292-92-6	476.87
4295-06-1	542.65
42969-65-3	382.65
42971-09-5	449.15
42998-51-6	411.65
430-40-0	367.45
430-44-4	297.65
430-51-3	350.15
430-57-9	346.95
430-61-5	281.15
430-66-0	278.15
430-71-7	317.15
430-85-3	341.5
430-95-5	351.15
4300-97-4	358.15
4301-39-7	490.15
43071-52-9	331.15
43083-12-1	419.15
431-03-8	361.15
431-06-1	319.95
431-07-2	290.15
431-27-6	326.85
431-34-5	397.65
431-35-6	359.05
431-47-0	316.55
431-52-7	361.25
431-53-8	320.45
431-63-0	279.4
431-89-0	256.79
431-97-0	382.15
4313-03-5	357.65
4313-57-9	388.65
4314-63-0	570.65
4316-42-1	383.15
4318-37-0	427.15
4318-42-7	341.15
4319-49-7	439.15
43197-78-0	408.15
432-04-2	408.25
4325-48-8	384.65
4325-85-3	458.15
4325-97-7	386.15
433-19-2	389.15
433-27-2	377.65
433-28-3	312.6
433-52-3	389.15
433-53-4	358.5
433-97-6	520.15
4331-22-0	448.15
4333-56-6	341.65
4336-19-0	583.15
4339-05-3	410.15
434-22-0	481.45
434-45-7	426.15
434-64-0	377.65
434-90-2	479.15
4340-76-5	639.15
4341-76-8	436.15
4342-03-4	393.55
4342-61-4	421.15
4346-18-3	498.15
4351-10-4	419.65
4351-54-6	435.65
4353-77-9	441.65
4354-45-4	526.15
4358-59-2	391.15
4358-75-2	377.65
4358-88-7	527.15
4361-28-8	360.15
4362-40-7	429.15
4364-06-1	396.45
4375-14-8	458.65
4375-83-1	420.65
4375-96-6	373.15
4376-20-9	468.65
4376-23-2	413.15
438-60-8	461.75
4383-18-0	489.15
4385-04-0	418.15
4388-87-8	417.65
4388-88-9	442.15
4390-04-9	519.5
4394-11-0	570.15
4394-85-8	513.15
4394-93-8	241.25
4395-73-7	500.15
4395-79-3	489.65
4395-80-6	489.15
4397-05-1	502.15
4399-47-7	380.65
440-60-8	421.1
4403-69-4	542.15
4404-98-2	447.5
4405-42-9	479.65
4407-36-7	530.65
4410-99-5	490.65
4413-13-2	434.03
4413-16-5	538.15
4415-82-1	416.65
4418-66-0	496.15
4420-74-0	487.15
4426-11-3	422.75
4426-51-1	458.15
4426-83-9	508.15
4427-56-9	501.15
443-82-3	423.15
443-83-4	427.15
443-84-5	385.15
443-88-9	420.65
4432-31-9	375.15
4432-77-3	351.15
4433-10-7	545.15
4433-11-8	555.15
4435-14-7	473.15
4435-53-4	408.15
4436-59-3	481.65
4437-50-7	469.15
4437-51-8	403.15
4439-24-1	433.15
444-29-1	470.65
444-30-4	420.6
4442-79-9	481.15
4443-55-4	695.15
4444-68-2	409.15
4445-06-1	675.15
4445-07-2	673.15
4447-60-3	440.15
445-01-2	467.05
445-27-2	461.05
445-69-2	500.15
4454-05-1	400.75
4457-00-5	476.26
4457-71-0	521.55
4457-90-3	333.15
4457-91-4	470.25
4458-31-5	385.15
4458-32-6	364.65
4459-18-1	334.15
446-10-6	486.15
446-11-7	514.15
446-33-3	490.15
446-35-5	480.15
446-51-5	472.6
446-52-6	448.15
4461-39-6	528.15
4461-41-0	337.65
4461-48-7	330.35
4463-33-6	477.15
4466-59-5	612.25
4468-02-4	592.15
4468-42-2	482.15
447-14-3	443.15
447-53-0	479.65
447-60-9	478.15
44745-29-1	416.15
44797-71-9	383.15
4480-83-5	513.65
4481-30-5	461.15
4482-03-5	570.15
4484-80-4	469.15
4485-09-0	460.65
4485-13-6	433.65
4485-16-9	394.15
4485-77-2	642.16
44855-57-4	437.15
4489-23-0	511.65
44914-03-6	433.15
4497-29-4	427.65
4497-92-1	440.65
44979-90-0	452.15
4498-32-2	385.65
4499-86-9	375.15
4500-29-2	401.15
4500-58-7	483.15
4509-11-9	386.15
451-40-1	593.15
451-46-7	483.15
451-80-9	444.55
4510-34-3	530.65
45102-52-1	397.15
45124-35-4	504.15
4516-69-2	378.04
4516-90-9	393.65
45165-81-9	550.15
452-09-5	433.15
452-10-8	424.05
452-62-0	442.15
452-64-2	422.15
452-66-4	431.65
452-67-5	390.05
452-73-3	425.65
452-75-5	428.65
452-76-6	388.15
452-86-8	531.15
4520-29-0	513.15
4522-93-4	386.15
4524-77-0	541.35
4524-93-0	434.65
4525-36-4	495.15
4525-44-4	374.15
45275-74-9	652.15
453-13-4	400.15
453-18-9	377.65
453-20-3	454.15
45313-33-5	806.15
45324-58-1	841.15
4535-61-9	422.7
4535-66-4	487.15
4536-23-6	482.65
4537-05-7	558.15
4537-13-7	562.65
454-31-9	373.15
454-78-4	462.15
454-79-5	354.65
454-90-0	433.15
454-92-2	511.65
4541-14-4	509.15
4542-46-5	383.65
4542-61-4	299.05
4543-33-3	493.15
4543-96-8	414.15
4547-69-7	550.15
4549-74-0	350.15
455-13-0	458.6
455-19-6	339.65
455-31-2	413.15
455-32-3	427.65
455-38-9	499.25
4551-51-3	441.05
4551-59-1	458.15
4553-62-2	536.15
4554-16-9	446.15
4559-79-9	444.65
456-47-3	474.15
456-48-4	446.15
456-49-5	432.15
456-55-3	373.05
456-56-4	414.15
456-59-7	466.15
4567-22-0	479.65
4569-77-1	483.65
457-68-1	532.15
4573-05-1	408.65
4573-09-5	425.15
458-03-7	445.15
458-88-8	439.65
4582-21-2	389.15
4588-18-5	417.8
459-22-3	501.15
459-26-7	446.15
459-56-3	483.15
459-57-4	454.65
459-60-9	430.15
459-72-3	393.15
459-73-4	422.15
459-80-3	522.65
459-99-4	420.94
4593-16-2	512.15
4593-81-1	515.15
4595-60-2	335.15
4597-87-9	473.65
460-00-4	424.65
460-12-8	283.46
460-13-9	269.95
460-16-2	283
460-19-5	252.05
460-32-2	335.9
460-34-4	289.85
460-35-5	318.25
460-36-6	302.55
460-37-7	358.15
460-43-5	304.77
460-55-9	266.15
460-58-2	336.65
460-73-1	288.45
4602-84-0	403.15
4606-07-9	407.15
4609-87-4	539.15
4609-89-6	425.15
461-11-0	550.15
461-35-8	408.15
461-96-1	413.15
4616-73-3	659.15
462-06-6	357.88
462-08-8	525.15
462-18-0	534.15
462-27-1	435.35
462-38-4	353.15
462-39-5	314.45
462-43-1	400.95
462-72-6	408.15
462-73-7	387.85
462-74-8	168.15
462-94-2	452.15
462-95-3	360.65
4620-70-6	449.65
4621-04-9	396.15
46231-41-8	418.15
4625-24-5	366.25
4628-21-1	357.35
463-04-7	377.65
463-11-6	415.45
463-18-3	438.15
463-49-0	238.65
463-51-4	223.34
463-56-9	185.37
463-58-1	223
463-71-8	346.15
463-72-9	334.65
463-82-1	282.65
4630-20-0	638.15
4630-82-4	456.15
4635-59-0	446.65
4635-87-4	418.5
4637-24-5	376.65
464-06-2	354.03
464-07-3	393.15
464-15-3	434.15
464-17-5	419.15
464-41-5	480.65
464-45-9	484.85
464-48-2	477.15
464-49-3	480.55
464-88-0	527.15
4645-15-2	515.65
4648-54-8	325.65
4652-27-1	473.15
4655-34-9	398.15
4656-04-6	408.95
466-99-9	521.15
4662-96-8	571.15
4663-22-3	343.15
4667-38-3	409.05
4667-99-6	429.15
4669-01-6	625
467-63-0	480.35
4670-56-8	516.15
4671-75-4	448.95
4676-51-1	490.65
4683-94-7	481.15
4685-47-6	475.15
4692-94-8	354.15
4693-02-1	425.15
4694-12-6	433.65
4695-62-9	466.55
470-67-7	446.65
470-82-6	449.55
4701-17-1	379.15
4701-36-4	470.15
4705-94-6	588.65
4706-89-2	472.25
4706-90-5	467.65
471-12-5	430.15
471-16-9	481.15
471-35-2	438.15
471-43-2	333.15
471-44-3	435.15
473-02-9	411.15
473-19-8	439.15
473-55-2	442.15
473-91-6	394.75
4730-22-7	445.05
4731-34-4	544.15
4732-59-6	294.15
4733-52-2	480.15
4734-90-1	473.65
4737-41-1	399.15
474-74-8	492.15
4740-00-5	411.49
4740-78-7	466.65
4744-08-5	396.15
4744-10-9	359.15
4747-05-1	367.65
4747-07-3	399.25
4747-15-3	484.65
4747-21-1	323.55
4747-90-4	217.15
4748-78-1	494.15
4749-27-3	406.15
4749-31-9	488.15
475-03-6	513.15
475-20-7	531.15
4753-75-7	422.15
4753-80-4	446.7
4755-36-6	440.15
4755-59-3	474.65
4755-77-5	410.15
4755-81-1	410.15
4760-34-3	519.65
4766-57-8	529.15
4771-80-6	507.65
4773-53-9	425.65
4773-82-4	498.15
4773-83-5	509
4774-73-6	318.95
4780-79-4	577.15
4784-77-4	377.65
4786-20-3	393.65
4789-40-6	483.15
4795-29-3	426.15
4795-86-2	442.15
4798-44-1	407.65
480-72-8	522.15
480-91-1	611.15
4800-34-4	490.65
4801-27-8	340.15
4806-58-0	339.15
4806-59-1	332.85
4806-61-5	343.75
4810-09-7	384.15
4812-17-3	468.15
4819-75-4	419.15
4823-47-6	429.65
4824-78-6	395.65
4829-04-3	448.15
483-63-6	427.15
483-64-7	544.15
483-78-3	567.15
4830-99-3	485.15
4831-43-0	510.15
4838-00-0	534.15
484-31-1	558.15
4850-28-6	389.88
4850-32-2	427.5
486-25-9	614.65
486-34-0	551.15
486-70-4	543.15
487-19-4	554.15
487-27-4	521.15
487-51-4	543.15
487-53-6	568.15
487-68-3	511.65
4877-93-4	580.65
488-10-8	531.15
488-17-5	521.15
488-23-3	478.19
488-70-0	533.15
488-87-9	551.65
488-97-1	418.15
4881-17-8	423.65
4884-24-6	505.65
4884-25-7	508.65
4885-02-3	357.05
4887-30-3	548.15
4890-85-1	532.15
4894-61-5	358.25
4894-62-6	384.15
4897-84-1	459.65
490-06-2	540.15
490-64-2	573.15
490-65-3	554.15
490-91-5	505.15
4900-30-5	415.65
4904-61-4	513.15
4905-79-7	497.15
491-18-9	473.15
491-31-6	559.15
491-34-9	519.15
491-35-0	538.81
491-59-8	478.15
4911-55-1	328.15
4911-70-0	412.15
4912-92-9	464.15
4913-13-7	500.15
4914-89-0	368.55
4914-91-4	362.4
4914-92-5	364.65
4916-63-6	419.15
492-17-1	636.15
492-22-8	646.15
492-37-5	534.15
492-88-6	536.65
492-97-7	533.15
4920-99-4	465.15
4923-77-7	429.25
4923-78-8	424.85
4926-76-5	424.15
4926-78-7	424.15
4926-90-3	425.31
493-01-6	468.97
493-02-7	460.46
493-08-3	488.15
493-09-4	485.15
493-57-2	520.15
4933-19-1	338.65
4938-52-7	427.65
494-12-2	605.15
494-40-6	569.15
494-52-0	549.15
494-55-3	576.15
494-97-3	543.15
494-98-4	388.45
494-99-5	493.15
4944-94-9	567.65
4945-28-2	556.15
4945-48-6	449.15
4946-13-8	484.15
4949-44-4	464.15
495-20-5	499.15
495-40-9	501.65
495-45-4	615.65
495-54-5	559.15
49540-32-1	464.4
49542-74-7	464.15
49557-09-7	465.15
4957-14-6	573.15
49598-54-1	513.15
496-06-0	374.75
496-10-6	440.15
496-11-7	451.12
496-14-0	465.15
496-15-1	502.15
496-16-2	461.65
496-41-3	585.65
496-72-0	538.15
496-73-1	543.15
496-77-5	458.15
496-78-6	508.55
4964-71-0	553.15
4965-36-0	563.15
497-03-0	390.65
497-06-3	469.65
497-19-8	1873.15
497-23-4	359.65
497-26-7	354.65
497-32-5	425.15
497-37-0	449.65
497-38-1	443.15
497-39-2	555.15
4974-21-4	490.15
4974-27-0	397.65
4975-21-7	429.15
49761-82-2	421.65
49773-64-0	436.55
4979-32-2	503.15
498-02-2	570.65
498-15-7	444.15
498-21-5	380.65
498-23-7	607
498-60-2	418.15
498-66-8	368.65
498-67-9	452.15
4981-63-9	526.65
4984-01-4	427.15
4984-85-4	439.15
49852-35-9	443.15
49859-87-2	641.15
499-75-2	510.15
4998-76-9	579.15
50-00-0	254.05
50-07-7	807.15
50-29-3	533.15
50-48-6	528.65
50-70-4	704
50-79-3	574.15
50-81-7	637
500-00-5	440
500-28-7	585.9
500-64-1	469.15
500-72-1	338.65
500-73-2	419.65
5006-22-4	409.05
5008-69-5	385.65
5008-72-0	406.8
5008-73-1	405.2
5009-11-0	360.15
501-19-9	526.65
501-52-0	552.95
501-65-5	573
501-92-8	511.15
5018-30-4	488.15
502-39-6	404.55
502-41-0	458.15
502-42-1	451.65
502-44-3	514
502-49-8	469.15
502-56-7	461.6
5022-29-7	558.65
5026-76-6	386.35
50273-84-2	398.15
50277-65-1	293.95
50285-70-6	563.15
5029-66-3	461.15
503-01-5	450.15
503-09-3	358.65
503-17-3	300.13
503-20-8	352.65
503-28-6	274.9
503-29-7	336.15
503-30-0	321
503-38-8	401.15
503-46-8	413.15
503-49-1	458.15
503-60-6	383.15
503-64-0	445.05
503-74-2	449.68
503-76-4	445.15
503-80-0	423.15
503-93-5	483.15
50311-48-3	273.55
5034-77-5	266.85
50341-35-0	417.15
50355-74-3	293.25
50355-75-4	305.35
5036-48-6	552.65
50370-12-2	511.15
50375-10-5	500.15
50390-78-8	532.15
504-01-8	519.65
504-03-0	400.15
504-15-4	560.15
504-20-1	470.65
504-24-5	546.15
504-31-4	480.65
504-60-9	315.05
504-61-0	394.35
504-63-2	487.55
504-64-3	279.95
504-78-9	437.65
50407-18-6	559.15
5042-30-8	370.15
5042-54-6	392.65
50422-80-5	385.15
50461-74-0	455.65
50468-22-9	473.15
50468-61-6	438.65
5048-19-1	436.65
50485-03-5	570.65
505-22-6	378.15
505-29-3	472.65
505-57-7	419.65
505-60-2	489.15
505-65-7	392.15
505-66-8	442.25
505-84-0	413.65
50512-35-1	441.15
5053-43-0	411.15
5054-57-9	428.45
50563-36-5	593.15
5057-99-8	499.15
5058-19-5	465.15
50586-18-0	394.45
50586-19-1	394.45
50594-82-6	474.15
50599-73-0	440.15
506-05-8	479.15
506-12-7	636.95
506-30-9	696.15
506-42-3	606.15
506-51-4	675
506-59-2	586.92
506-68-3	334.65
506-77-4	286
506-78-5	427.49
506-80-9	398.65
506-96-7	349.15
50622-09-8	365.15
50623-57-9	533
5063-03-6	357.65
50689-17-3	353.15
5069-26-1	544.15
507-02-8	381.15
507-09-5	360.16
507-16-4	413.15
507-19-7	346.4
507-20-0	323.75
507-36-8	381.15
507-40-4	350.65
507-45-9	402.15
507-52-8	353.5
507-55-1	327.25
507-63-1	434.6
507-70-0	485.8
50715-02-1	771.15
5075-13-8	410.65
5075-33-2	419.15
5075-92-3	490.15
5076-19-7	348.4
5076-20-0	363.55
50764-78-8	419.15
5077-67-8	433.15
50782-69-9	572.15
508-32-7	425.65
50831-29-3	275.15
50836-65-2	489.15
50846-45-2	529.15
50868-72-9	526.15
50876-31-8	429.55
50876-32-9	425.65
50876-33-0	391.11
50893-53-3	391.65
509-12-6	465.15
509-14-8	398.85
50901-87-6	400.35
50906-29-1	438.15
51-30-9	465.15
51-46-7	338.55
51-64-9	476.65
51-71-8	411.15
51-75-2	466.04
51-79-6	458.15
51-80-9	356.15
510-15-6	430.15
5100-36-7	526.15
51025-94-6	407.15
5103-71-9	585.94
5103-74-2	574.49
51034-46-9	373.85
51065-65-7	390.15
51079-52-8	467.15
51115-02-7	411.65
51116-73-5	421.15
5113-93-9	440.15
51131-85-2	485.65
512-56-1	470.15
512-60-7	536.15
51200-81-8	465.15
51200-82-9	463.15
51200-83-0	467.65
51218-49-6	408.15
51225-20-8	548.15
51260-39-0	513.15
51261-14-4	445.2
51286-83-0	347.25
51294-16-7	421.65
51299-55-9	466.15
513-02-0	492.15
513-08-6	525.15
513-23-5	482.15
513-31-5	414.15
513-35-9	311.71
513-36-0	342
513-37-1	341.25
513-38-2	393.55
513-42-8	387.15
513-44-0	361.64
513-48-4	393.15
513-49-5	335.1
513-53-1	358.13
513-77-9	1723.15
513-81-5	341.93
513-85-9	455.15
513-86-0	418.65
513-88-2	393.15
5130-24-5	341.65
5131-58-8	351.15
5131-60-2	378.15
5131-66-8	444.65
5132-75-2	563.15
51321-79-0	369.95
51325-35-0	335.15
51333-70-1	424.65
5137-45-1	375.25
5137-55-3	498.15
514-10-3	649.7
51422-54-9	421.15
5145-64-2	418.65
5145-99-3	380.53
515-00-4	494.65
515-40-2	496.15
515-64-0	567.15
515-69-5	427.15
515-83-3	388.65
515-84-4	440.65
515-88-8	491.15
515-90-2	495.15
5150-42-5	506.65
5150-80-1	383.15
51500-32-4	484.15
51525-97-4	548.15
5153-67-3	528.15
51556-10-6	414.15
5157-89-1	501.65
51575-85-0	437.15
51594-55-9	387.15
516-21-2	390.15
5160-99-6	467.15
51609-06-4	446.15
5161-04-6	469.15
5161-13-7	415.68
5161-14-8	415.15
5161-16-0	426.19
5161-17-1	431.79
5162-03-8	603.15
5162-44-7	371.95
5162-48-1	424.15
51627-14-6	436.15
5166-35-8	366.95
51686-60-3	437.65
517-22-6	472.15
517-51-1	775.4
5171-84-6	443.16
51731-17-0	473.15
51750-65-3	426.96
51755-83-0	523.15
51756-08-2	455.15
51760-90-8	408.15
51762-05-1	524.15
51772-30-6	508.15
51800-98-7	373.65
51807-53-5	492.15
51821-32-0	213.15
5183-79-9	462.15
5185-71-7	384.15
5185-80-8	471.65
519-23-3	491.15
519-73-3	632.15
51909-61-6	410.15
51934-41-9	555.15
5194-50-3	356.65
5194-51-4	355.05
5195-37-9	507.15
5195-40-4	508.15
51956-42-4	448.15
52-53-9	517.65
520-45-6	543.15
520-69-4	487.15
52019-78-0	411.65
5203-14-5	515.15
52049-26-0	405.15
5205-34-5	474.15
52075-14-6	353.65
5208-49-1	442.15
52089-55-1	468.15
5209-18-7	575.15
5209-33-6	592.15
521-74-4	636.89
52112-25-1	553.15
52152-71-3	393.25
52152-72-4	413.15
5216-25-1	518.15
5217-05-0	492.15
5221-53-4	342.15
52217-02-4	421.15
52217-47-7	370.25
5223-59-6	564.15
5223-61-0	569.35
52254-38-3	540.15
523-47-7	547.15
523-80-8	567.15
5230-78-4	398.65
52315-44-3	510.15
52317-98-3	381.15
52334-81-3	425.65
52338-90-6	390.15
52351-96-9	462.65
52356-93-1	485.15
52358-73-3	563.15
5238-27-7	414.6
52390-72-4	432.15
5240-72-2	374.15
52414-98-9	540.2
52444-01-6	391.15
52488-28-5	542.65
52488-36-5	557.15
52497-07-1	398.15
525-06-4	540.65
5258-50-4	431.19
5259-50-7	378.15
5259-65-4	443.15
526-73-8	449.27
526-75-0	490.07
526-85-2	510.15
5263-87-6	579.15
52644-81-2	736.15
52645-53-1	473.15
5266-85-3	511.15
52670-32-3	448.15
52670-33-4	454.15
52670-34-5	469.15
52670-35-6	465.15
52670-36-7	479.15
52688-75-2	356.05
52688-89-8	406.15
527-35-5	521.15
527-53-7	471.15
527-54-8	524.95
527-55-9	557.15
527-60-6	493.95
527-69-5	446.15
527-84-4	451.33
52708-03-9	465.65
5271-67-0	479.65
52713-81-2	364.15
5272-36-6	443.15
52731-39-2	395.15
5274-50-0	524.15
5275-02-5	411.15
5277-11-2	445.15
52775-76-5	398.95
528-29-0	592
528-79-0	518.15
5281-76-5	333.15
52818-63-0	525.65
52829-98-8	440.15
5283-66-9	505.15
5283-67-0	348.85
52831-58-0	432.15
52831-65-9	454.15
5284-22-0	530
52841-28-8	383.15
5285-87-0	505.65
52851-26-0	359.15
52896-87-4	432.06
52896-88-5	429.36
52896-89-6	435.36
52896-90-9	431.36
52896-91-0	436.16
52896-92-1	430.76
52896-93-2	433.36
52896-95-4	433.06
52896-99-8	420.16
52897-00-4	436.86
52897-01-5	434.06
52897-03-7	434.26
52897-04-8	427.26
52897-05-9	436.06
52897-06-0	435.26
52897-08-2	431.96
52897-09-3	421.56
52897-10-6	437.75
52897-11-7	426.26
52897-12-8	434.76
52897-15-1	429.36
52897-16-2	442.86
52897-17-3	442.66
52897-18-4	428.46
52897-19-5	442.6
529-16-8	413.65
529-17-9	439.15
529-19-1	478.15
529-20-4	474.15
529-21-5	471.15
529-28-2	514.15
529-32-8	511.15
529-33-9	528.15
529-35-1	539.15
529-65-7	533.15
52917-87-0	455.15
52918-63-5	573.15
5292-21-7	518.15
52936-25-1	282.05
52955-41-6	531.15
5299-64-9	398.15
5299-65-0	445.15
530-45-0	555.85
530-48-3	550.25
530-93-8	510.15
53001-22-2	354.15
5302-41-0	478.45
53022-14-3	530.65
53043-14-4	531.15
53045-71-9	383.15
5306-98-9	435.65
5308-25-8	430.15
531-39-5	538.15
53119-51-0	430.15
53121-23-6	405.15
5314-55-6	397.45
5314-83-0	351.65
5314-85-2	402.15
53152-98-0	398.65
53172-84-2	475.15
53175-28-3	420.65
53178-20-4	341.35
53193-22-9	621.16
53198-46-2	480.15
532-03-6	546.15
532-18-3	744.15
532-24-1	500.15
532-27-4	520.15
532-28-5	443.15
532-34-3	536.15
532-96-7	587.15
53213-78-8	328.85
53220-82-9	576.15
5324-30-1	348.15
5325-94-0	456.15
5325-97-3	568.15
53252-19-0	421.15
53252-21-4	427.15
53268-66-9	423.15
53268-67-0	423.15
5328-01-8	553.65
5329-79-3	403.15
53293-32-6	488.15
53296-64-3	421.15
533-18-6	481.15
533-23-3	592.52
533-32-4	484.15
533-68-6	450.15
533-98-2	439.46
53310-02-4	377.15
5332-06-9	479.15
5332-24-1	548.15
5332-25-2	554.15
5332-52-5	530.55
5332-73-0	390.65
53330-94-2	636.15
5335-75-1	482.15
53369-71-4	429.65
5337-72-4	449.15
5337-93-9	509.15
53378-71-5	435.65
5338-18-1	345.55
53392-86-2	398.15
53399-81-8	427.15
534-00-9	394.75
534-07-6	446.55
534-15-6	337.65
534-22-5	337.85
534-26-9	469.65
534-85-0	586.15
5340-36-3	462.15
5340-41-0	446.25
53402-10-1	502.15
5342-87-0	563.7
5343-92-0	482.15
5343-96-4	401.65
53434-74-5	436.15
5344-20-7	397.05
5344-55-8	510.15
5344-90-1	546.15
53448-09-2	472.15
53460-46-1	467.15
53469-21-9	618.65
5347-12-6	559.15
53475-15-3	432.65
5349-18-8	483.55
5349-62-2	523.7
535-13-7	420.15
535-15-9	428.15
535-52-4	455.65
535-77-3	448.23
5351-04-2	470.15
53510-18-2	385.15
53516-81-7	356.65
53535-68-5	452.15
53543-44-5	381.15
53555-01-4	448.05
53558-25-1	396.65
5356-83-2	372.15
53566-37-3	375.61
53584-56-8	416.2
53588-92-4	383.15
53594-82-4	592.15
536-50-5	492.15
536-59-4	517.15
536-60-7	522.15
536-74-3	416
536-75-4	442.35
536-78-7	440.15
536-88-9	452.15
536-90-3	524.15
5362-56-1	401.15
5363-64-4	416.15
53636-17-2	397.15
5368-81-0	521.15
537-46-2	485.15
537-92-8	576.15
53772-78-4	263.15
53776-69-5	553.35
53778-43-1	329.92
53778-73-7	407.15
538-07-8	467.39
538-49-8	598.15
538-51-2	583.15
538-68-1	478.61
538-81-8	625.15
538-86-3	443.15
538-93-2	445.94
53818-14-7	348.15
53894-19-2	420.15
53897-51-1	401.15
539-03-7	606.15
539-21-9	433.15
539-30-0	458.15
539-32-2	479.75
539-47-9	559.15
539-52-6	458.65
539-74-2	452.15
539-82-2	419.25
539-88-8	478.95
539-90-2	430.05
539-92-4	463.15
5390-04-5	427.65
5390-71-6	372.15
5390-72-7	376.65
53905-38-7	627.85
5391-88-8	393.15
53910-25-1	464.65
53911-92-5	556.15
53915-69-8	538.15
5392-40-5	501.2
5392-86-9	510.15
5393-55-5	443.65
5395-04-0	570.15
53957-33-8	506.15
5396-24-7	434.15
5396-38-3	511.15
5396-58-7	447.15
5396-89-4	549.15
5396-91-8	625.15
53966-53-3	434.15
53967-34-3	573.95
5398-08-3	514.15
5398-10-7	542.15
5398-25-4	451.65
5399-02-0	622.15
54-11-5	520.15
54-49-9	491.15
54-80-8	494.15
540-07-8	499.15
540-18-1	458.15
540-36-3	362
540-42-1	410.65
540-43-2	428.15
540-47-6	317.85
540-49-8	384.1
540-51-2	423.15
540-54-5	319.67
540-59-0	328.15
540-63-6	419.2
540-67-0	280.5
540-73-8	354.15
540-80-7	336.15
540-82-9	553.15
540-84-1	372.39
540-88-5	369.15
540-97-6	518.15
