CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
107-03-9	1-Propanethiol	C3H8S	340.95	29540	31890
107-05-1	3-Chloropropene	C3H5Cl	318.25	29000	
107-06-2	1,2-Dichloroethane	C2H4Cl2	356.65	31980	35160
107-07-3	2-Chloroethanol	C2H5ClO	401.75	41400	
107-08-4	1-Iodopropane	C3H7I	375.65	32080	36250
107-10-8	Propylamine	C3H9N	320.37	29550	31270
107-12-0	Propanenitrile	C3H5N	370.29	31810	36030
107-13-1	Acrylonitrile	C3H3N	350.45	32600	
107-15-3	1,2-Ethanediamine	C2H8N2	390.15	37980	44980
107-18-6	Allyl alcohol	C3H6O	370.55	40000	
107-21-1	1,2-Ethanediol	C2H6O2	470.45	50500	63900
107-31-3	Methyl formate	C2H4O2	304.85	27920	28350
107-39-1	2,4,4-Trimethyl-1-pentene	C8H16	374.55		35590
107-40-4	2,4,4-Trimethyl-2-pentene	C8H16	378.05		37230
107-41-5	2-Methyl-2,4-pentanediol	C6H14O2	470.25	57300	
107-47-1	Di-tert-butyl sulfide	C8H18S	422.25	33260	43760
107-83-5	2-Methylpentane	C6H14	333.41	27790	29890
107-84-6	1-Chloro-3-methylbutane	C5H11Cl	372.05	32020	36240
107-87-9	2-Pentanone	C5H10O	375.41	33440	38400
107-88-0	1,3-Butanediol	C4H10O2	480.65	54310	74460
107-92-6	Butanoic acid	C4H8O2	436.9		40450
1070-87-7	2,2,4,4-Tetramethylpentane	C9H20	395.44	32510	38490
1077-16-3	Hexylbenzene	C12H18	499.25		60400
1078-71-3	Heptylbenzene	C13H20	513.15		64200
108-03-2	1-Nitropropane	C3H7NO2	404.25	38500	
108-05-4	Vinyl acetate	C4H6O2	345.95	34600	
108-08-7	2,4-Dimethylpentane	C7H16	353.64	29550	32880
108-10-1	4-Methyl-2-pentanone	C6H12O	389.65	34490	40610
108-11-2	4-Methyl-2-pentanol	C6H14O	404.75	44200	
108-18-9	Diisopropylamine	C6H15N	357.05	30400	34610
