	CASRN	Formula	MW	c_0	c_1	c_2	c_3	c_4	Min T	Max T	Max w	No of points in corr	v_1	v_2	v_3	v_4	v_5	v_6	Min T	Max T	Max w	No of points in corr	a1	a2	a3	a4	a5	a6	Min T	Max T	Max w	No of points in corr
Potassium Iodide	7681-11-0	KI	166.02	278.943640132031	1407.61912896448	2.50114423686534	0.0138511632772227	1387.54108036637	0	100.02	0.6669	297	2.98583852051338	2.37765263680441	0.49977486681403	0.00934248088339622	1.70893863931587	-0.00165048180254392	5	95	0.6274217585693	245	-0.120814326095711	-0.0477706194673023	2.37227816843641	-3.78617542504316	0.136481338582931	0.621302502729483	5	120	0.476318376499491	180
Potassium Nitrite	7758-09-0	KNO2	85.1	-216.833357910204	4586.34358563135	4.85927495833493	0.0172293763426515	989.380044476015	20	80	0.75	55	0.164707731349718	1.5383391465026	-0.0150370536535536	-0.0377280312275176	-14.2248574562702	11.20410364325	25	25	0.622759819030762	15										
Potassium Nitrate	7757-79-1	KNO3	101.1032	1.49068709973892	6.67292354651383	1.47150749460911	0.0155872679453073	2539.22687484937	5	95	0.283965696256165	179	12.2187821226243	0.217809708146926	-4.08235067923183	0.00107448213787828	757.655012948568	1.34568475185849	15	60	0.494973578282202	146	-0.0231553426998827	-0.0942883948914098	4.38938623486404	-15.696387624444	2.25138090262839	0.939359066403717	5	120	0.199519531745423	147
Potassium Hydroxide	1310-58-3	KOH	56.11	821.119043254761	1043.20173374381	0.112873330222752	0.00124023636407386	539.630388368877	4	95	0.51861	237	57.4198157197363	3.80481406171296	2.62270093659636	0.0103144776487057	5202.71048053244	10.9425874221815	-14.1	40	0.51861	50	-0.612709529812129	-0.0454225316920391	1.87598005977999	-5.62731016809735	2.42547035549534	1.24500822569176	4	120	0.465314066384833	285
Lithium Sulfate	10377-48-7	Li2SO4	109.94	0.00711493013455434	0.00869246384846451	0.151649349676449	0.00360862647418256	3458.25184736606	0	65	0.2603	192	42.4909603154037	2.21333353374412	6.06402999044027	0.00814290129030605	24.1674397087677	2.96004938607259	5	128.58	0.260208146495991	179	-50.9977719389815	-3.74835982490953	13.1959839180305	21.3930234549551	-0.0428077142683681	-0.871184058700556	25	25	0.0937480760260326	11
Lithium Acetate	546-89-4	LiCH3CO2	65.98	-1.58993663057902	1.92713798691581	2.13060290293235	0.0166992374744932	2808.50353741219	15	45	0.0473714972134074	35	-1.74347834665692	13.7815228001753	7.82377158989942	0.0117407898798712	0.23734195351949	0.280393718467998	15	45	0.0389642715454102	22										
Lithium Chloride	7447-41-8	LiCl	42.39	1777.71168869463	208.095675885873	0.0924032897423372	-0.0000965138194640463	-303.212122198705	-5	127.05	0.4539	592	18.6178234588751	0.773036318483134	2.15660166137342	0.00435445218019151	1023.45333257758	2.38089336779273	-5	100	0.46	651	-0.113836281704716	-0.0584080777319412	2.70787330383205	-6.80384597219364	-0.153027430922755	-0.234095092371243	5	130	0.160209376598227	166
Lithium Nitrate	7790-69-4	LiNO3	68.94	-1.12683534932851	38.4341980749203	13.4680810860095	-0.0484278129747622	-2594.07413122207	0	110	0.6236	128	15.0565163255925	1.43962159122848	1.34507041853844	0.00783736557339852	123.546763547658	3.31353796385657	0	110	0.671	104	-9449.26290546908	0.100354180423118	-8.88234112958136	-2.05111512041871	1.01458211829037	-0.201734342969788	20	20	0.13	4
Lithium Hydroxide	1310-65-2	LiOH	23.95	3.55823799848342	0.988986357420376	-0.0697252979271942	-0.0000639986669564712	-2513.09471353798	20	75	0.1133	119	39.0264343363312	0.897852229500712	10.8940174976722	0.00913581872760642	2.74306606694198	3.26426404123851	20	40	0.1133	29	-2.61619983273883	-0.0271669313221761	1.26345022968517	-4.13228724286689	7.29139659174577	0.111323823992043	25	25	0.0516235086447742	15
Magnesium Acetate	142-72-3	Mg(CH3CO2)2	142.4	1144.73365132323	727.869091076043	0.319119906359469	0.0000296124078398932	-133.875711542928	15	45	0.121926701307056	33	13.6235651644593	1.40930973349855	8.52447129650729	0.0128296924231186	1.53442711367461	0.360228729799427	15	45	0.042424201965332	22	-9449.26290529056	0.0786458864517896	-8.88424170675013	-2.64714799395004	1.72635848744464	0.0230960680161087	36.5	36.5	0.14	3
Magnesium Nitrate	10377-60-3	Mg(NO3)2	148.315	0.967814929691928	5.540434135986	1.10374669742622	0.0123340782160061	2589.61875022366	5	95	0.439273244744001	385	69.5769240055845	4.17047793905946	3.57817553622189	0.0116677996754397	13897.6652650556	20.8027689840251	0	120	0.72	235	-0.103713247177424	-0.0647453826944371	2.92191453087969	-5.48799065938436	2.41768600041476	1.32062411084408	5	120	0.130741851073311	216
Magnesium Chloride	7786-30-3	MgCl2	95.23	-0.0215001423271867	0.0441202083909434	1.53227586827304	-0.0098078506056196	-3478.36496883693	0	98.67	0.323755961314361	386	35.3996277859551	2.73271428999181	3.92973827779435	0.0204320817584697	-1.11964615409186	0.14494238171532	15	70	0.385555624414288	332	-1.34606864033233	-0.0185542566558278	0.846522211009386	-3.54621764242775	6.64217196115805	3.38082843051388	5	120	0.344648430719072	315
Magnesium Sulfate	7487-88-9	MgSO4	120.38	98.1201663080777	59.265764731786	-0.0303404982114453	0.000503619228557116	1763.7594229147	0	125	0.268169549776151	420	75.332237160797	2.22798929550577	6.58441504882381	0.00784500761585228	1650.84454992458	5.48823459576185	15	150	0.300789833068848	182	-7.62991929828341	0.0108473552984059	-1.48616716246442	-1.89782546209751	1.72007168722472	0.456774744613572	25	130	0.275699045304706	68
Manganese(II) Nitrate	10377-66-9	Mn(NO3)2	178.95	-0.00482624161249546	0.00944759084439808	1.27433074160111	0.0210811729976908	3666.76869957631	5	95	0.0841124895238497	54	5.59814978534406	1.91889479610358	2.22295689184099	0.00875628420151473	-4.05763255510591	4.01728101800095	25	25	0.34931841103556	6	-0.140322059050074	-0.056173676149944	2.4587604120613	-4.10166739809866	1.65026284669773	0.90182539113028	5	120	0.0841124895238497	192
Manganese(II) Chloride	7773-01-5	MnCl2	125.84	0.00000186864902230967	0.0000454525919152575	1.57582584081573	-0.0107756446932909	-4369.86396440139	15	75	0.434679103846984	195	28.1716789716269	2.46943088811229	3.84079351906854	0.00837125445019256	7.38504679431372	2.06966863585972	25	25	0.420370153799192	14	-2.3137796181355	-0.0271669313221761	1.26345022968517	-1.14085995103381	4.43559481800338	0.0161338005830389	25	25	0.0193323549438446	9
Manganese(II) Sulfate	10034-96-5	MnSO4	150.9996	0.0164440169186226	0.00408704882120158	-0.110639531486381	0.00192979480040457	3484.63640840436	20	25	0.363979752066116	33	24.0377854392662	2.1340733312297	6.4724040556133	0.00748081362901764	0.673990070364875	-0.538836809054714	20	80	0.364052772521973	93	-7.62987460945654	-0.0011038029512929	-1.48665105565489	-2.03182182073946	2.05928013707305	0.838979237111082	35	35	0.15	4
Sodium Oxalate	62-76-0	Na2C2O4	134.01	-193.619995701937	293.768564579427	0.119104207656489	0.00199891481794908	1092.31619305169	0	50	0.0324164673041429	18	-6548.12890881386	3024.36080547827	7.43903557963673	0.00184927408186895	258.583464117586	0.498889410288285	0	50	0.0324164673041429	13	-7.64367597075223	-0.0200990150477641	-1.34330979922214	-23.1883651338588	5.93069629294968	1.10317432262367	25	25	0.032341183911247	6
Sodium Carbonate	497-19-8	Na2CO3	106	0.000000545486543455015	0.000000172154929405038	-0.0825850207323492	0.00168822949783412	4705.39822185746	0	100.14	0.209376238305078	167	27.6831996816743	1.56324040665499	6.80529471973068	0.0150777050822261	22452.3440720574	28.2362397327323	20	90	0.308548927307129	63	-0.536815212401109	-0.0271669313221761	1.26345022968517	-9.17050072414969	5.6555023849342	0.828013458429348	25	25	0.209376238305078	23
Sodium Chromate	7775-11-3	Na2CrO4	161.97	-0.974213934665835	2.97452548906621	0.450037490376969	0.00683070950763969	2699.85682259887	0	90	0.5	47	32.9766190009435	2.37446521868548	3.13570589788076	0.0128785634693103	223.190091363967	6.36521050964452	0.2	89.3	0.5	48										
Disodium Hydrogen Phosphate	7782-85-6	Na2HPO4	141.993	0.000000027133480799362	0.00000000829830060458641	-0.0474351837193672	0.00259472063870609	5012.93652490163	25	45	0.0766	35	-70.6112626366312	0.000284320206986714	70.8120391054964	-0.0172410884014679	-1.01468030945696	0.012449835806106	20	50	0.0987	41	-0.922378734153241	-0.0558901462711484	1.87170181754377	-5.92555254998777	3.07839063715727	0.26158558631384	39.5	39.5	0.073	2
Sodium Molybdate	7631-95-0	Na2MoO4	205.928	-2.08131961211022	4.84461280523794	4.43423042359586	-0.0208150320148339	-2942.26405798836	25	80	0.35	30											-0.234800620558737	-0.0271669313221761	1.26345022968517	0.0670906102532191	2.04764265967123	0.535303762697207	25	25	0.0323264898962089	10
