CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
107-87-9	2-Pentanone	293.2	15.45	40.893	-0.10423	0.000060557		204	353
107-88-0	1,3-Butanediol	298.2	28.8	72.883	-0.1477			278	323
107-92-6	Butanoic acid	287.2	2.98	1.501	0.0050046			287	403
1070-32-2	3-Methyl-1-heptanol	290.3	2.884	8.4687	-0.033712	0.000049793		241	316
1070-71-9	Cyanoacetylene	291.9	72.3	918.03	-4.9149	0.0069104		281	314
1070-83-3	tert-Butylacetic acid	296.2	2.85						
1072-05-5	2,6-Dimethylheptane	293.2	1.987						
1072-16-8	2,7-Dimethyloctane	293.2	1.98						
1072-85-1	1-Bromo-2-fluorobenzene	298.2	4.72						
1073-06-9	1-Bromo-3-fluorobenzene	298.2	4.85						
1073-23-0	2,6-Dimethylpyridine-1-oxide	298.2	46.11	227.65	-0.9076	0.0010011		298	398
1077-16-3	Hexylbenzene	293.2	2.3						
1078-71-3	Heptylbenzene	293.2	2.26						
108-03-2	1-Nitropropane	288.2	24.7	94.999	-0.38358	0.0004848		276	333
108-08-7	2,4-Dimethylpentane	293.2	1.902	2.3979	-0.0017436	0.00000017857		273	323
