CASRN	Name	Formula	A	B	C	Tmin	Tmax
25355-03-7	2 - Heptyl nonanol 	C16H34O 	-2.2286	-622.89	130.58	290	380
2307-13-3	Heptyl thio laurate 	C 19H38OS 	-0.9865	-308.04	136.82	300	370
544-76-3	Hexa decane 	C16H34 	-1.8174	-578.33	46.605	290	520
14852-31-4	2 - Hexa decanol 	C16H34O 	-2.3662	-672.23	124.54	290	380
629-70-9	Hexa decyl acetate 	C18H36O2 	-1.4106	-403.22	118	290	380
2307-06-4	7 - n - Hexadecyl spiro ( 4,5) decane 	C26H50 	-1.1827	-387.1	147.17	290	380
110-54-3	Hexane 	C6H14 	-1.2463	-118.06	134.87	270	340
628-73-9	Hexane nitrile 	C6H11N 	-1.78	-471.26	27.296	290	440
111-31-9	1 - Hexane thiol 	C6H14S 	-1.5195	-343.01	54.236	270	380
1679-06-7	2 - Hexane thiol 	C6H14S 	-1.5945	-361.31	42.281	270	380
142-92-7	Hexyl ethanoate 	C8H16O2 	-1.6136	-390.55	59.772	300	370
99332-99-7	Hexyl thiohexanoate 	C12H24OS 	-1.3053	-384.59	78.571	310	370
2487-75-4	Hexyl thio laurate 	C18H36OS 	-1.1505	-371.22	112.96	310	370
302-01-2	Hydrazine 	H4 N2 	-1.4407	-296.75	83.603	280	450
74-90-8	Hydrogen cyanide 	HCN 	-1.6541	-217.4	61.204	250	300
582-24-1	2 - Hydroxy aceto phenone 	C8H8O2 	-1.583	-435.71	84.205	320	490
121-71-1	3 - Hydroxy aceto phenone 	C8H8O2 	-1.4802	-415.71	189.61	370	570
123-08-0	4 - Hydroxy benzaldehyde 	C7H6O2 	-0.3974	-106.24	303.06	400	440
496-11-7	Indan 	C9H10 	-1.2327	-250.37	114.78	270	400
7440-74-6	Indium 	In 	-0.3239	-236.69	30.666	430	620
7783-66-6	Iodine penta fluoride 	F5I 	-0.6707	-114.5	183.24	280	350
591-50-4	Iodo benzene 	C6H5I 	-1.2107	-307.78	78.655	270	425
75-03-6	Iodo ethane 	C2H5I 	-1.6258	-446.1	-27.294	270	350
513-38-2	1 - Iodo - 2 - methyl propane 	C4H9I 	-1.6668	-470.78	7.0839	270	390
107-08-4	1 - Iodo propane 	C3H7I 	-1.3648	-292.68	56.586	270	380
75-30-9	2 - Iodo propane 	C3H7N 	-1.588	-409.62	6.1088	270	360
544-01-4	Isoamyl ether 	C10H22O 	-1.5653	-344.08	74.225	270	380
110-19-0	Isobutyl acetate 	C6H12O2 	-2.8472	-1268.1	176.33	290	460
7425-80-1	Isobutyl titanate 	C16H36O4Ti 	-1.7234	-295.54	247.55	370	470
591-76-4	Iso heptane 	C7H16 	-2.3931	-835.48	-130.45	270	370
40482-44-8	3 - Isopropyl - 2 - oxa zolidinone 	C6H11NO2 	-1.2344	-323.09	118.18	270	340
6939-17-9	3 - Iso propyl sydnone 	C5H8N2O2 	-1.1797	-338.42	141.61	330	400
7439-92-1	Lead 	Pb 	-0.1186	-182.99	266.85	600	1200
7791-18-6	Magnesium chloride hexahydrate (molten) 	MgCl2.6H2O 	-0.8293	-1261	90.022	990	1180
2216-51-5	1 - Menthol 	C10H20O 	-2.039	-324.74	214.31	320	380
7439-97-6	Mercury 	Hg 	-0.1105	-51.209	124.04	290	380
67-56-1	Methanol 	CH4O 	-1.9016	-449.49	23.551	180	290
5417-42-5	n - 2 - Methoxy ethyl acetamide 	C5H11O2 	-1.3441	-330.03	159.45	290	350
90-05-1	2 - Methoxy phenol 	C7H8O2 	-1.4351	-313.21	151.1	320	480
150-19-6	3 - Methoxy phenol 	C7H8O2 	-1.5348	-377.59	172.18	325	520
150-76-5	4 - Methoxy phenol 	C7H8O2 	-1.59	-412.7	162.01	340	520
74-89-5	Methyl amine 	CH5N 	-1.6228	-198.43	71.96	200	300
100-61-8	n - Methyl aniline 	C7H9N 	-1.3528	-268.33	136.78	270	440
823-40-5	2 - Methyl benzene amine 	C7H9N 	-1.4107	-297.19	149.02	270	480
108-44-1	3 - Methyl benzene amine 	C7H9N 	-1.4494	-301.95	145.82	270	480
529-19-1	2-Methyl benzo nitrile 	C 8H7N 	-1.3838	-319.82	96.496	290	420
620-22-4	3-Methyl benzo nitrile 	C 8H7N 	-1.408	-321.16	95.332	290	420
104-85-8	4-Methyl benzo nitrile 	C 8H7N 	-1.4654	-360.83	80.619	300	420
137-32-6	2-Methyl-1- butanol 	C5H12O 	-2.3355	-551.3	113.41	290	400
