CASRN	Name	A	B	C	D	Tc	Pc	Tmin	Tmax
4390-04-9	2,2,4,4,6,8,8-heptamethylnonane 	-8.9087	2.2747	-3.649	-6.66	693	1570000		693
4485-13-6	1-hexadecanol 	-10.54087	3.4726	-6.077	-15.939	770	1610000		770
629-78-7	heptadecane 	-10.236	3.54177	-7.1898	-5	735	1370000	295.134	735
1454-85-9	1-heptadecanol 	-10.73125	3.55515	-6.3591	-15.696	780	1500000	327.05	780
593-45-3	octadecane 	-10.4723	3.69655	-7.5779	-5.109	746	1300000	301.31	746
112-92-5	1-octadecanol 	-10.91637	3.57835	-6.6199	-15.06	790	1440000	331.05	790
629-92-5	nonadecane 	-10.68217	3.98054	-8.303	-4.995	758	1230000	305.04	758
1454-84-8	1-nonadecanol 	-11.22657	4.03454	-7.7867	-11.97	799	1380000	334.85	799
112-95-8	eicosane 	-10.97958	4.25588	-8.9573	-5.043	769	1160000	309.58	769
629-96-9	1-eicosanol 	-11.23154	3.669	-7.0775	-14.321	809	1300000	338.55	809
7783-81-5	uranium hexafluoride 	-7.37599	1.8001	-2.69686	-3.13299	503.35	4531000		503.35
7664-41-7	ammonia 	-7.28322	1.5716	-1.85672	-2.39312	405.5	11353000	195.41	405.5
7727-37-9	nitrogen 	-6.11102	1.2189	-0.69366	-1.89893	126.2	3400000	63.149	126.2
