CASRN	Chemical	Tm	Tb	rho
7783-80-4	Tellurium hexafluoride			9.875
7783-81-5	Uranium(VI) fluoride			5090
7783-82-6	Tungsten(VI) fluoride	275.05	290.25	3440
7783-83-7	Ammonium iron(III) sulfate dodecahydrate	310.15		1710
7783-85-9	Ammonium iron(II) sulfate hexahydrate			1860
7783-86-0	Iron(II) iodide	867.15		5300
7783-89-3	Silver(I) bromate			5210
7783-90-6	Silver(I) chloride	728.15	1820.15	5560
7783-92-8	Silver(I) chlorate	503.15		4430
7783-93-9	Silver(I) perchlorate			2806
7783-95-1	Silver(II) fluoride	963.15		4580
7783-96-2	Silver(I) iodide	831.15	1779.15	5680
7783-97-3	Silver(I) iodate			5530
7783-98-4	Silver(I) permanganate			4490
7783-99-5	Silver(I) nitrite			4453
7784-01-2	Silver(I) chromate			5625
7784-02-3	Silver(I) dichromate			4770
7784-03-4	Silver(I) tetraiodomercurate(II)			6100
7784-05-6	Silver(I) selenite	803.15		5930
7784-07-8	Silver(I) selenate			5720
7784-09-0	Silver(I) phosphate	1122.15		6370
7784-11-4	Aluminum bromide hexahydrate	366.15		2540
7784-13-6	Aluminum chloride hexahydrate			2398
7784-14-7	Ammonium tetrachloroaluminate	577.15		
7784-16-9	Sodium tetrachloroaluminate			2010
7784-17-0	Cesium aluminum sulfate dodecahydrate			1970
7784-18-1	Aluminum fluoride			3100
7784-19-2	Ammonium hexafluoroaluminate			1780
7784-23-8	Aluminum iodide	461.43	655.15	3980
7784-24-9	Potassium aluminum sulfate dodecahydrate			1720
7784-26-1	Aluminum ammonium sulfate dodecahydrate	367.65		1650
7784-27-2	Aluminum nitrate nonahydrate	346.15		1720
7784-29-4	Rubidium aluminum sulfate dodecahydrate			1900
7784-30-7	Aluminum phosphate			2560
7784-31-8	Aluminum sulfate octadecahydrate			1690
7784-33-0	Arsenic(III) bromide	304.25	494.15	3400
7784-34-1	Arsenic(III) chloride	257.15	403.15	2150
7784-35-2	Arsenic(III) fluoride	267.25	330.28	2700
7784-36-3	Arsenic(V) fluoride	193.35	220.35	6.945
7784-40-9	Lead(II) hydrogen arsenate			5943
7784-41-0	Potassium dihydrogen arsenate	561.15		2870
7784-42-1	Arsine	157.15	210.65	3.186
7784-44-3	Ammonium hydrogen arsenate			1990
7784-45-4	Arsenic(III) iodide	414.15	697.15	4730
7784-46-5	Sodium arsenite			1870
7784-48-7	Nickel(II) arsenate octahydrate			4980
7785-20-8	Nickel(II) ammonium sulfate hexahydrate			1920
7785-23-1	Silver(I) bromide	703.15	1775.15	6470
7785-84-4	Sodium trimetaphosphate			2490
7785-87-7	Manganese(II) sulfate	973.15		3250
7786-30-3	Magnesium chloride	987.15	1685.15	2325
7786-81-4	Nickel(II) sulfate			4010
7787-32-8	Barium fluoride	1641.15	2533.15	4893
7787-33-9	Barium iodide dihydrate			5000
7787-34-0	Barium iodate monohydrate			5000
7787-35-1	Barium manganate(VI)			4850
7787-36-2	Barium permanganate			3770
7787-37-3	Barium molybdate	1723.15		4975
7787-38-4	Barium nitrite monohydrate			3180
7787-39-5	Barium sulfite			4440
7787-40-8	Barium thiosulfate monohydrate			3500
7787-41-9	Barium selenate			4750
7787-42-0	Barium tungstate	1748.15	2003.15	5040
7787-46-4	Beryllium bromide	781.15		3465
7787-47-5	Beryllium chloride	688.15	755.15	1900
7787-49-7	Beryllium fluoride	825.15	1556.15	2100
7787-52-2	Beryllium hydride			650
7787-53-3	Beryllium iodide	753.15	863.15	4320
7787-56-6	Beryllium sulfate tetrahydrate			1710
7787-57-7	Bismuth oxybromide			8080
7787-58-8	Bismuth tribromide	492.15	735.15	5720
7787-59-9	Bismuth oxychloride			7720
7787-60-2	Bismuth trichloride	507.15	714.15	4750
7787-61-3	Bismuth trifluoride	922.15	1173.15	8300
7787-62-4	Bismuth pentafluoride	424.55	503.15	5550
7787-63-5	Bismuth oxyiodide			7920
7787-64-6	Bismuth triiodide	681.75	815.15	5778
7787-68-0	Bismuth sulfate			5080
7787-69-1	Cesium bromide	909.15	1573.15	4430
7787-70-4	Copper(I) bromide	756.15	1618.15	4980
7787-71-5	Bromine trifluoride	281.92	398.95	2803
7788-96-7	Chromium(VI) difluoride dioxide	303.15		
7788-97-8	Chromium(III) fluoride	1698.15		3800
7788-98-9	Ammonium chromate			1900
7788-99-0	Chromium(III) potassium sulfate dodecahydrate			1830
7789-00-6	Potassium chromate	1247.15		2730
7789-01-7	Lithium chromate dihydrate			2150
7789-02-8	Chromium(III) nitrate nonahydrate	339.45		1800
7789-04-0	Chromium(III) phosphate			4600
7789-06-2	Strontium chromate			3900
7789-09-5	Ammonium dichromate			2155
7789-12-0	Sodium dichromate dihydrate			2350
7789-16-4	Cesium hydrogen sulfate			3352
7789-17-5	Cesium iodide	905.15	1553.15	4510
7789-18-6	Cesium nitrate	682.15		3660
7789-19-7	Copper(II) fluoride	1109.15	1949.15	4230
7789-20-0	Water-d2	276.97	374.57	1104.425
7789-21-1	Fluorosulfonic acid	184.15	436.15	1726
7789-23-3	Potassium fluoride	1131.15	1775.15	2480
7789-24-4	Lithium fluoride	1121.35	1946.15	2640
7789-25-5	Nitrosyl fluoride	140.65	213.25	2.003
7789-26-6	Fluorine nitrate	98.15	227.15	3.311
7789-27-7	Thallium(I) fluoride	599.15	1099.15	8360
7789-28-8	Iron(II) fluoride	1373.15		4090
7789-29-9	Potassium hydrogen fluoride	511.95		2370
7789-30-2	Bromine pentafluoride	212.65	314.45	2460
7789-33-5	Iodine bromide	313.15		4300
7789-36-8	Magnesium bromate hexahydrate			2290
7789-38-0	Sodium bromate	654.15		3340
7789-39-1	Rubidium bromide	965.15	1613.15	3350
7789-40-4	Thallium(I) bromide	733.15	1092.15	7500
7789-41-5	Calcium bromide	1015.15	2088.15	3380
7789-42-6	Cadmium bromide	841.15	1136.15	5190
7789-43-7	Cobalt(II) bromide	951.15		4910
7789-45-9	Copper(II) bromide	771.15	1173.15	4710
7789-46-0	Iron(II) bromide	964.15		4636
7789-47-1	Mercury(II) bromide	514.15	591.15	6050
7789-48-2	Magnesium bromide	984.15		3720
7789-51-7	Selenium oxybromide	314.75		3380
7789-52-8	Selenium bromide	278.15		3600
7789-54-0	Tellurium dibromide	483.15	612.15	
7789-56-2	Cerium(III) bromide heptahydrate	1005.15		
7789-57-3	Tribromosilane	200.15	382.15	2700
7789-59-5	Phosphoryl bromide	328.15	464.85	2822
7789-60-8	Phosphorus(III) bromide	231.65	446.35	2800
7789-61-9	Antimony(III) bromide	370.15	561.15	4350
7789-65-3	Selenium tetrabromide	396.15		
7789-66-4	Tetrabromosilane	278.54	427.15	2800
7789-67-5	Tin(IV) bromide	302.25	478.15	3340
7789-68-6	Titanium(IV) bromide	311.45	506.65	3370
7789-69-7	Phosphorus(V) bromide			3610
7789-75-5	Calcium fluoride	1691.15	2773.15	3180
7789-77-7	Calcium hydrogen phosphate dihydrate			2310
7789-78-8	Calcium hydride	1273.15		1700
7789-80-2	Calcium iodate			4520
7789-82-4	Calcium molybdate	1793.15		4350
7790-21-8	Potassium periodate	855.15		3618
7790-22-9	Lithium iodide trihydrate	346.15		2380
7790-28-5	Sodium periodate			3860
7790-29-6	Rubidium iodide	929.15	1573.15	3550
7790-30-9	Thallium(I) iodide	714.85	1097.15	7100
7790-31-0	Magnesium iodide octahydrate			2100
7790-32-1	Magnesium iodate tetrahydrate			3300
7790-33-2	Manganese(II) iodide	911.15		5040
7790-38-7	Palladium(II) iodide			6000
7790-39-8	Platinum(II) iodide			6400
7790-41-2	Iridium(III) iodide			7400
7790-42-3	Potassium triiodide monohydrate			3500
7790-44-5	Antimony(III) iodide	444.15	673.15	4920
7790-47-8	Tin(IV) iodide	675.15	637.5	4460
7790-48-9	Tellurium tetraiodide	553.15		5050
7790-49-0	Thorium(IV) iodide	839.15	1110.15	
7790-59-2	Potassium selenate			3070
7790-60-5	Potassium tungstate	1194.15		3120
7790-62-7	Potassium pyrosulfate	598.15		2280
7790-63-8	Potassium uranate			6120
7790-67-2	Potassium pyrophosphate trihydrate			2330
7790-69-4	Lithium nitrate	526.15		2380
7790-71-8	Lithium selenate monohydrate			2560
7790-74-1	Calcium selenate dihydrate			2750
7790-75-2	Calcium tungstate	1893.15		6060
7790-76-3	Calcium pyrophosphate	1626.15		3090
7790-78-5	Cadmium chloride hemipentahydrate			3327
7790-79-6	Cadmium fluoride	1348.15	2023.15	6330
7790-80-9	Cadmium iodide	661.15	1017.15	5640
7790-81-0	Cadmium iodate			6480
7790-84-3	Cadmium sulfate monohydrate	378.15		3790
7790-85-4	Cadmium tungstate			8000
7790-86-5	Cerium(III) chloride	1080.15		3970
7790-87-6	Cerium(III) iodide	1033.15		
7790-89-8	Chlorine fluoride	117.55	172.05	2.226
7790-91-2	Chlorine trifluoride	196.81	284.9	3.779
7790-94-5	Chlorosulfonic acid	193.15	425.15	1750
7790-98-9	Ammonium perchlorate			1950
7790-99-0	Iodine chloride	300.53		3240
7791-03-9	Lithium perchlorate	509.15		2428
7791-07-3	Sodium perchlorate monohydrate			2020
7791-09-5	Rhenium(VII) trioxychloride	277.65	401.15	3870
7791-10-8	Strontium chlorate			3150
7791-11-9	Rubidium chloride	997.15	1663.15	2760
7791-12-0	Thallium(I) chloride	704.15	993.15	7000
7791-13-1	Cobalt(II) chloride hexahydrate			1924
7791-18-6	Magnesium chloride hexahydrate			1560
7791-21-1	Chlorine monoxide	152.55	275.35	3.552
7791-23-3	Selenium oxychloride	281.65	450.15	2440
7791-25-5	Sulfuryl chloride	222.15	342.55	1680
7791-26-6	Uranyl chloride	850.15		
7791-27-7	Pyrosulfuryl chloride	236.15	424.15	1837
7791-28-8	Barium bromide dihydrate			3700
7803-49-8	Hydroxylamine	306.25	331.15	1210
7803-51-2	Phosphine	139.35	185.4	1.39
7803-52-3	Stibine	185.15	256.15	5.1
7803-54-5	Magnesium amide			1390
7803-55-6	Ammonium metavanadate			2326
7803-57-8	Hydrazine monohydrate	221.45	392.15	1030
7803-58-9	Sulfuryl amide	366.15		
7803-62-5	Silane	88.15	161.25	1.313
7803-63-6	Ammonium hydrogen sulfate	420.15		1780
7803-68-1	Telluric(VI) acid	409.15		3070
811-54-1	Lead(II) formate			4630
81155-18-2	Rhenium(VI) dioxydifluoride	429.15		
813-93-4	Bismuth citrate			3458
814-88-0	Cadmium oxalate			3320
814-89-1	Cobalt(II) oxalate			3020
814-90-4	Chromium(II) oxalate monohydrate			2468
814-93-7	Lead(II) oxalate			5280
814-94-8	Tin(II) oxalate			3560
819-73-8	Lead(II) butanoate	363.15		
84359-31-9	Chromium(III) phosphate hexahydrate			2121
865-44-1	Iodine trichloride			3200
868-14-4	Potassium hydrogen tartrate			1980
89711-39-7	Dodecaborane(16)	338.15		
917-61-3	Sodium cyanate	823.15		1890
917-65-7	Dichloromethylaluminum	345.85		
92141-86-1	Cesium metaborate	1005.15		3700
940-71-6	Phosphonitrilic chloride trimer	401.95		1980
96-10-6	Chlorodiethylaluminum	199.15		960
992-94-9	Methylsilane	116.65	215.65	
992-98-3	Thallium(I) formate	374.15		4970
993-50-0	(Dimethylamino)trimethystannane	274.15	399.15	1220
