CASRN	Chemical	Tm	Tb	rho
12025-39-7	Germanium(II) telluride	997.15		6160
12026-06-1	Thallium(I) hydroxide			7440
12027-06-4	Ammonium iodide			2514
12029-81-1	Holmium nitride			10600
12029-98-0	Iodine pentoxide			4980
12030-14-7	Indium(II) sulfide	965.15		5200
12030-24-9	Indium(III) sulfide	1323.15		4450
12030-49-8	Iridium(IV) oxide			11700
12030-51-2	Iridium(IV) sulfide			9300
12030-85-2	Potassium niobate	1373.15		4640
12030-88-5	Potassium superoxide	808.15		2160
12030-97-6	Potassium titanate	1788.15		3100
12031-30-0	Lanthanum monosulfide	2573.15		5610
12031-49-1	Lanthanum sulfide	2383.15		4900
12031-63-9	Lithium niobate	1513.15		4300
12031-66-2	Lithium tantalate	1923.15		
12031-80-0	Lithium peroxide			2310
12031-82-2	Lithium titanate	1598.15		
12032-20-1	Lutetium oxide	2763.15	4253.15	9410
12032-30-3	Magnesium metatitanate	1838.15		3850
12032-31-4	Magnesium zirconate	2333.15		4230
12032-36-9	Magnesium sulfide	2499.15		2680
12032-52-9	Magnesium orthotitanate	2113.15		3530
12032-74-5	Manganese(II) titanate	1633.15		4550
12032-78-9	Manganese phosphide (MnP)	1420.15		5490
12032-82-5	Manganese antimonide (MnSb)	1113.15		6900
12032-88-1	Manganese(II) telluride	1423.15		6000
12032-97-2	Manganese antimonide (Mn2Sb)	1221.15		7000
12033-19-1	Molybdenum nitride (MoN)	2023.15		9200
12033-31-7	Molybdenum nitride (Mo2N)			9460
12033-54-4	Plutonium nitride	2823.15		14400
12033-62-4	Tantalum nitride	3363.15		13700
12033-64-6	Terbium nitride			9550
12033-65-7	Thorium nitride	3093.15		11600
12033-72-6	Tungsten nitride (W2N)			17800
12033-82-8	Strontium nitride	1473.15		
12033-83-9	Uranium nitride [U2N3]			11300
12033-88-4	Nitrogen selenide			4200
12033-89-5	Silicon nitride [Si3N4]	2173.15		3170
12034-09-2	Sodium niobate	1695.15		4550
12034-12-7	Sodium superoxide	825.15		2200
12034-57-0	Niobium(II) oxide	2210.15		7300
12034-59-2	Niobium(IV) oxide	2174.15		5900
12034-66-1	Niobium phosphide			6500
12034-77-4	Niobium(IV) selenide			6300
12034-80-9	Niobium silicide	2223.15		5700
12034-83-2	Niobium(IV) telluride			7600
12034-88-7	Lead(II) niobate	1616.15		6600
12034-89-8	Strontium niobate	1498.15		5110
12035-32-4	Neodymium(III) sulfide	2480.15		5460
12035-35-7	Neodymium(III) telluride	1650.15		7000
12035-39-1	Nickel(II) titanate			5000
12035-52-8	Nickel antimonide	1420.15		8740
12035-64-2	Nickel phosphide	1373.15		7330
12035-72-2	Nickel subsulfide	1062.15		5870
12035-79-9	Neptunium(IV) oxide	2820.15		11100
12035-82-4	Platinum(II) oxide			14100
