CASRN	RI	RIT
123-73-9	1.4366	293.15
123-75-1	1.4431	293.15
123-76-2	1.4396	293.15
123-82-0	1.4199	292.15
123-83-1	1.4222	293.15
123-84-2	1.4738	293.15
123-86-4	1.3941	293.15
123-90-0	1.5386	293.15
123-91-1	1.4224	293.15
123-92-2	1.4	293.15
123-95-5	1.4328	323.15
123-98-8	1.468	293.15
123-99-9	1.4303	384.15
124-02-7	1.4387	293.15
124-06-1	1.4362	293.15
124-07-2	1.4285	293.15
124-10-7	1.425	318.15
124-11-8	1.4257	293.15
124-12-9	1.4203	293.15
124-13-0	1.4217	293.15
124-17-4	1.4262	293.15
124-18-5	1.409	298.15
124-19-6	1.4273	293.15
124-22-1	1.4421	293.15
124-30-1	1.4522	293.15
124-40-3	1.35	290.15
124-48-1	1.5482	293.15
124-63-0	1.4573	293.15
124-68-5	1.449	293.15
124-70-9	1.427	293.15
124-73-2	1.361	298.15
1241-94-7	1.51	298.15
126-14-7	1.466	
126-15-8	1.5254	293.15
126-33-0	1.4833	291.15
126-52-3	1.4441	294.15
126-68-1	1.448	293.15
126-71-6	1.4193	293.15
126-73-8	1.4224	298.15
126-84-1	1.3891	293.15
126-98-7	1.4003	293.15
126-99-8	1.4583	293.15
127-00-4	1.4392	293.15
127-06-0	1.4156	293.15
127-17-3	1.428	293.15
127-18-4	1.5059	293.15
127-19-5	1.4341	298.15
127-25-3	1.5344	
127-91-3	1.4768	298.15
128-37-0	1.4859	348.15
128-39-2	1.5001	293.15
128-50-7	1.493	293.15
130-95-0	1.625	288.15
13014-24-9	1.5886	293.15
13019-22-2	1.448	293.15
13054-87-0	1.4489	298.15
13057-17-5	1.4562	293.15
13067-93-1	1.5839	298.15
131-11-3	1.5138	293.15
13116-53-5	1.494	291.15
13151-17-2	1.404	293.15
13151-34-3	1.4177	293.15
13171-21-6	1.4718	298.15
13176-46-0	1.5281	293.15
13195-80-7	1.526	293.15
132-64-9	1.6079	372.15
132-75-2	1.6192	293.15
13250-46-9	1.5231	291.15
13254-34-7	1.4242	293.15
13258-63-4	1.5381	298.15
13269-52-8	1.3943	293.15
13286-92-5	1.457	293.15
133-08-4	1.425	293.15
133-13-1	1.4166	293.15
133-59-5	1.5565	293.15
1330-61-6	1.4416	293.15
